t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0,4.8,0.00495715,0.891636,-0.364206,-0.119133,-0.00382806,8.3,0,0,0,0,0.891636,0.00495715,0.0011946,0.00106515,-0.00502266,-0.120198
0.02,4.8,0.00495715,0.891374,-0.357317,-0.1144,-0.00377729,8.3,0,0.0177599,2.11292e-07,2.37943e-05,0.891374,0.00495715,0.00119425,0.00106452,-0.00497153,-0.115465
0.04,4.7,0.00485387,0.885738,-0.349986,-0.113973,-0.00352849,8.3,0,0.0355159,8.44253e-07,4.74598e-05,0.885738,0.00485387,0.00116197,0.0010292,-0.00469046,-0.115002
0.06,4.7,0.00485387,0.877574,-0.340227,-0.11918,-0.00288564,8.3,0,0.0531606,1.88516e-06,7.04844e-05,0.877574,0.00485387,0.00115126,0.00101032,-0.0040369,-0.120191
0.08,4.6,0.0047506,0.874632,-0.32491,-0.128182,-0.00375982,8.3,0,0.0706441,3.31726e-06,9.32985e-05,0.874632,0.0047506,0.00112299,0.000982201,-0.00488281,-0.129164
0.1,4.6,0.0047506,0.869397,-0.301753,-0.137575,-0.0042,7.8983,0,0.0880717,5.13751e-06,0.000115553,0.869397,0.0047506,0.00111627,0.00097048,-0.00531627,-0.138545
0.12,4.6,0.0047506,0.86644,-0.271478,-0.144193,-0.00366632,7.75026,0,0.105399,7.33253e-06,0.000137801,0.86644,0.0047506,0.00111247,0.000963889,-0.00477879,-0.145157
0.14,4.59377,0.00474416,0.863889,-0.238537,-0.14635,-0.0043122,7.3813,0,0.122674,9.9045e-06,0.000159973,0.863889,0.00474416,0.00110769,0.000956923,-0.00541989,-0.147307
0.16,4.5,0.00464733,0.864007,-0.208496,-0.143879,-0.0059125,6.9825,0,0.139904,1.28505e-05,0.000181946,0.864007,0.00464733,0.00108523,0.000937646,-0.00699773,-0.144817
0.18,4.39045,0.00453419,0.866032,-0.184257,-0.13698,-0.0072,6.6,0,0.157142,1.61722e-05,0.000203354,0.866032,0.00453419,0.00106129,0.000919113,-0.00826129,-0.137899
0.2,4.29125,0.00443175,0.852437,-0.165552,-0.125483,-0.00785248,6.38251,0,0.174426,1.98685e-05,0.000224283,0.852437,0.00443175,0.00102103,0.000870363,-0.0088735,-0.126354
0.22,4.18885,0.00432599,0.843868,-0.150605,-0.109279,-0.00846691,6.0777,0,0.191442,2.38569e-05,0.000244425,0.843868,0.00432599,0.000986645,0.000832598,-0.00945356,-0.110111
0.24,4.1,0.00423423,0.832982,-0.137307,-0.0891601,-0.009267,5.79163,0,0.208289,2.81394e-05,0.000263898,0.832982,0.00423423,0.000953259,0.000794047,-0.0102203,-0.0899541
0.26,4.0865,0.00422029,0.825,-0.124521,-0.0675988,-0.00989203,5.6,0,0.224921,3.26862e-05,0.000282813,0.825,0.00422029,0.000941017,0.000776339,-0.0108331,-0.0683752
0.28,3.99113,0.00412179,0.825,-0.11367,-0.0481116,-0.00918225,5.6,0,0.241396,3.74997e-05,0.000301479,0.825,0.00412179,0.000919053,0.000758219,-0.0101013,-0.0488698
0.3,3.80341,0.00392793,0.825,-0.108434,-0.0330193,-0.0115115,5.6,0,0.257874,4.26167e-05,0.00031951,0.825,0.00392793,0.000875826,0.000722556,-0.0123873,-0.0337418
0.32,3.7,0.00382114,0.830305,-0.111731,-0.0225903,-0.00856325,5.6,0,0.274352,4.8024e-05,0.000336669,0.830305,0.00382114,0.000857493,0.000711981,-0.00942074,-0.0233023
0.34,3.6,0.00371786,0.82788,-0.123484,-0.0161964,-0.00915975,5.6,0,0.290936,5.37479e-05,0.00035356,0.82788,0.00371786,0.000831881,0.000688698,-0.00999163,-0.0168851
0.36,3.48651,0.00360066,0.830556,-0.141686,-0.0130436,-0.0064,5.6,0,0.307469,5.97293e-05,0.000369927,0.830556,0.00360066,0.000808259,0.000671304,-0.00720826,-0.0137149
0.38,3.4,0.00351131,0.830556,-0.163958,-0.0122198,-0.00584921,5.6,0,0.324051,6.59962e-05,0.000385833,0.830556,0.00351131,0.000788203,0.000654647,-0.00663741,-0.0128744
0.4,3.3017,0.00340979,0.830556,-0.186903,-0.0129522,-0.00678983,5.6,0,0.34063,7.25219e-05,0.000401352,0.830556,0.00340979,0.000765414,0.000635719,-0.00755524,-0.0135879
0.42,3.28801,0.00339566,0.827623,-0.205631,-0.0148215,-0.00411164,5.6,0,0.357203,7.92997e-05,0.000416497,0.827623,0.00339566,0.00075955,0.000628621,-0.00487119,-0.0154501
0.44,3.18888,0.00329328,0.824676,-0.216184,-0.0176915,-0.00471107,5.6,0,0.373715,8.6301e-05,0.00043152,0.824676,0.00329328,0.000734028,0.000605335,-0.00544509,-0.0182969
0.46,3.09382,0.00319511,0.819528,-0.217796,-0.0218337,-0.0038,5.6,0,0.390165,9.35188e-05,0.00044594,0.819528,0.00319511,0.000707701,0.00057998,-0.0045077,-0.0224137
0.48,2.87057,0.00296455,0.821813,-0.211851,-0.0285643,-0.00502943,5.6,0,0.406512,0.000100922,0.000459693,0.821813,0.00296455,0.000658462,0.000541133,-0.0056879,-0.0291055
0.5,2.6,0.00268512,0.816521,-0.200698,-0.0401118,-0.0041893,5.6,0,0.422906,0.000108563,0.000472264,0.816521,0.00268512,0.000592557,0.000483835,-0.00478186,-0.0405957
0.52,2.5,0.00258185,0.810881,-0.187972,-0.0578332,-0.004,5.6,0,0.439196,0.00011635,0.000483665,0.810881,0.00258185,0.000565831,0.000458822,-0.00456583,-0.058292
0.54,2.5,0.00258185,0.808333,-0.177431,-0.0805172,-0.0040508,5.6,0,0.455376,0.000124267,0.000494843,0.808333,0.00258185,0.000564054,0.000455943,-0.00461485,-0.0809731
0.56,2.5,0.00258185,0.807946,-0.169987,-0.104539,-0.00496405,5.6,0,0.471507,0.00013234,0.000506099,0.807946,0.00258185,0.000563783,0.000455506,-0.00552784,-0.104994
0.58,2.51374,0.00259604,0.802608,-0.163178,-0.125936,-0.00583511,5.6,0,0.487632,0.000140591,0.000517367,0.802608,0.00259604,0.000563137,0.000451979,-0.00639824,-0.126388
0.6,2.6,0.00268512,0.800023,-0.155514,-0.142164,-0.00578538,5.6,0,0.503652,0.00014897,0.000528718,0.800023,0.00268512,0.000580585,0.000464481,-0.00636597,-0.142628
0.62,2.61291,0.00269845,0.794444,-0.150264,-0.15154,-0.00710327,5.6,0,0.519621,0.000157506,0.000540418,0.794444,0.00269845,0.000579399,0.0004603,-0.00768267,-0.152
0.64,2.7107,0.00279945,0.79434,-0.152989,-0.152816,-0.00893577,5.6,0,0.53548,0.000166169,0.000552106,0.79434,0.00279945,0.000601005,0.000477402,-0.00953678,-0.153293
0.66,2.8,0.00289167,0.792496,-0.167208,-0.146303,-0.00786135,5.6,0,0.551336,0.00017502,0.00056431,0.792496,0.00289167,0.000619363,0.000490843,-0.00848072,-0.146794
0.68,2.81866,0.00291094,0.786111,-0.194119,-0.13401,-0.00943731,5.6,0,0.567153,0.000184043,0.00057679,0.786111,0.00291094,0.000618467,0.000486183,-0.0100558,-0.134497
0.7,2.9,0.00299494,0.786111,-0.234132,-0.118346,-0.0101768,5.6,0,0.582836,0.000193187,0.000589238,0.786111,0.00299494,0.000636315,0.000500214,-0.0108131,-0.118846
0.72,2.9,0.00299494,0.78319,-0.285535,-0.101378,-0.0100884,5.6,0,0.598511,0.000202523,0.000602016,0.78319,0.00299494,0.00063395,0.000496503,-0.0107224,-0.101874
0.74,2.9,0.00299494,0.780233,-0.342083,-0.0850466,-0.007263,5.6,0,0.614118,0.000212017,0.000614648,0.780233,0.00299494,0.000631557,0.000492761,-0.00789455,-0.0855393
0.76,2.9,0.00299494,0.774601,-0.394774,-0.0708696,-0.00777589,5.6,0,0.629654,0.000221664,0.000627224,0.774601,0.00299494,0.000626998,0.000485674,-0.00840289,-0.0713552
0.78,2.9,0.00299494,0.769291,-0.436519,-0.0592589,-0.00559079,5.6,0,0.645067,0.000231428,0.0006397,0.769291,0.00299494,0.0006227,0.000479038,-0.00621349,-0.059738
0.8,2.9,0.00299494,0.766481,-0.464482,-0.0496898,-0.00408039,5.6,0,0.660366,0.000241309,0.000652083,0.766481,0.00299494,0.000620426,0.000475544,-0.00470082,-0.0501654
0.82,2.8,0.00289167,0.760623,-0.47934,-0.0412794,-0.00345509,5.6,0,0.675603,0.000251338,0.000664311,0.760623,0.00289167,0.000594453,0.000452155,-0.00404954,-0.0417315
