t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0,-0.8,-0.000821331,0,0.369998,-0.015,0.001,0,0,0,0,0,0,-0.000821331,-0,-0,0.001,-0.015
0.02,-0.8,-0.000821331,0,0.369819,-0.015904,0.00077873,0,0,7.39996e-05,-7.53613e-13,-2.0368e-08,0,-0.000821331,-0,-0,0.00077873,-0.015904
0.04,-0.8,-0.000821331,0,0.369113,-0.0171413,0.000174336,0,0,0.000147963,-3.01299e-12,-4.07262e-08,0,-0.000821331,-0,-0,0.000174336,-0.0171413
0.06,-0.8,-0.000821331,0,0.367432,-0.0188564,0.000199464,0,0,0.000221786,-6.76952e-12,-6.10455e-08,0,-0.000821331,-0,-0,0.000199464,-0.0188564
0.08,-0.8,-0.000821331,0,0.36457,-0.020774,0.000177375,0,0,0.000295272,-1.19987e-11,-8.12723e-08,0,-0.000821331,-0,-0,0.000177375,-0.020774
0.1,-0.8,-0.000821331,0,0.360875,-0.0221105,0.0002,0,0,0.000368186,-1.86563e-11,-1.01342e-07,0,-0.000821331,-0,-0,0.0002,-0.0221105
0.12,-0.8,-0.000821331,0,0.35754,-0.0220687,0.0002,0,0,0.000440361,-2.66875e-11,-1.21207e-07,0,-0.000821331,-0,-0,0.0002,-0.0220687
0.14,-0.8,-0.000821331,0,0.356182,-0.0206362,0.0002,0,0,0.000511869,-3.60585e-11,-1.4089e-07,0,-0.000821331,-0,-0,0.0002,-0.0206362
0.16,-0.8,-0.000821331,0,0.357575,-0.0186045,0.000225235,0,0,0.000583106,-4.67934e-11,-1.60497e-07,0,-0.000821331,-0,-0,0.000225235,-0.0186045
0.18,-0.8,-0.000821331,0,0.360889,-0.0167933,0.0012,0,0,0.000654621,-5.89752e-11,-1.80181e-07,0,-0.000821331,-0,-0,0.0012,-0.0167933
0.2,-0.8,-0.000821331,0,0.3645,-0.0155617,0.0012,0,0,0.000726799,-7.26973e-11,-2.00048e-07,0,-0.000821331,-0,-0,0.0012,-0.0155617
0.22,-0.8,-0.000821331,0,0.367262,-0.0149018,0.000788555,0,0,0.000799699,-8.80121e-11,-2.20113e-07,0,-0.000821331,-0,-0,0.000788555,-0.0149018
0.24,-0.8,-0.000821331,0,0.368894,-0.0146559,0.000382184,0,0,0.000873151,-1.04922e-10,-2.40331e-07,0,-0.000821331,-0,-0,0.000382184,-0.0146559
0.26,-0.8,-0.000821331,0,0.369695,-0.0146473,0.0004,0,0,0.00094693,-1.23403e-10,-2.60638e-07,0,-0.000821331,-0,-0,0.0004,-0.0146473
0.28,-0.8,-0.000821331,0,0.370235,-0.0147389,0.000415447,0,0,0.00102087,-1.43427e-10,-2.80989e-07,0,-0.000821331,-0,-0,0.000415447,-0.0147389
0.3,-0.8,-0.000821331,0,0.371159,-0.0148471,0.0008,0,0,0.00109492,-1.64988e-10,-3.0137e-07,0,-0.000821331,-0,-0,0.0008,-0.0148471
0.32,-0.8,-0.000821331,0,0.373039,-0.0149328,0.000972003,0,0,0.00116915,-1.88117e-10,-3.21802e-07,0,-0.000821331,-0,-0,0.000972003,-0.0149328
0.34,-0.8,-0.000821331,0,0.376155,-0.0149859,0.0004,0,0,0.00124376,-2.12892e-10,-3.42338e-07,0,-0.000821331,-0,-0,0.0004,-0.0149859
0.36,-0.8,-0.000821331,0,0.380146,-0.015011,0.000192497,0,0,0.00131899,-2.39425e-10,-3.63045e-07,0,-0.000821331,-0,-0,0.000192497,-0.015011
0.38,-0.8,-0.000821331,0,0.383684,-0.0150177,0,0,0,0.00139502,-2.67823e-10,-3.83971e-07,0,-0.000821331,-0,-0,0,-0.0150177
0.4,-0.8,-0.000821331,0,0.384876,-0.0150151,0,0,0,0.00147175,-2.98098e-10,-4.05093e-07,0,-0.000821331,-0,-0,0,-0.0150151
0.42,-0.8,-0.000821331,0,0.382553,-0.0150104,8.21142e-06,0,0,0.00154873,-3.30096e-10,-4.2628e-07,0,-0.000821331,-0,-0,8.21142e-06,-0.0150104
0.44,-0.8,-0.000821331,0,0.377119,-0.0150078,0.000615544,0,0,0.00162524,-3.63516e-10,-4.47339e-07,0,-0.000821331,-0,-0,0.000615544,-0.0150078
0.46,-0.8,-0.000821331,0,0.369944,-0.01501,0.000616015,0,0,0.00170066,-3.98039e-10,-4.68099e-07,0,-0.000821331,-0,-0,0.000616015,-0.01501
0.48,-0.8,-0.000821331,0,0.362457,-0.0150175,0.00101546,0,0,0.00177465,-4.33427e-10,-4.88464e-07,0,-0.000821331,-0,-0,0.00101546,-0.0150175
0.5,-0.8,-0.000821331,0,0.356126,-0.0150288,0.000984888,0,0,0.00184714,-4.69559e-10,-5.08417e-07,0,-0.000821331,-0,-0,0.000984888,-0.0150288
0.52,-0.8,-0.000821331,0,0.352493,-0.0150388,0.000443441,0,0,0.00191837,-5.06469e-10,-5.28021e-07,0,-0.000821331,-0,-0,0.000443441,-0.0150388
