t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,accel_pedal_pct,brake_pedal_state,di_torque_actual_nm,wheel_FL_kph,wheel_FR_kph,wheel_RL_kph,wheel_RR_kph,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,psi_dot_rads,a_y_mps2
0,-6.89459,-0.0100278,13.4889,0.335524,18.8,2,234.324,45.7957,46.0022,46.2,46.4822,0,0,0,13.4889,-0.0100278,-0.0470498,-0.634649
0.02,-6.9,-0.0100356,13.4889,0.318335,18.4,2,208.417,45.8,46.1186,46.3193,46.3593,0.269845,-0.000127026,-0.000941599,13.4889,-0.0100356,-0.0470867,-0.635147
0.04,-6.9,-0.0100356,13.511,0.269558,18.4,2,223.989,45.6802,46.0405,46.44,46.4798,0.539686,-0.000508214,-0.00188374,13.511,-0.0100356,-0.047164,-0.637236
0.06,-6.9,-0.0100356,13.5111,0.205692,18.4,2,210.196,45.7961,46.038,46.2078,46.5239,0.80996,-0.00114484,-0.00282721,13.5111,-0.0100356,-0.0471643,-0.637242
0.08,-6.9,-0.0100356,13.5111,0.157757,18,2,204.023,45.6807,46.0398,46.3198,46.5195,1.08022,-0.00203642,-0.00377064,13.5111,-0.0100356,-0.0471643,-0.637242
0.1,-6.9,-0.0100356,13.5111,0.149796,18,2,196.358,45.8776,46.0388,46.3188,46.44,1.35047,-0.00318292,-0.00471403,13.5111,-0.0100356,-0.0471643,-0.637242
0.12,-6.9,-0.0100356,13.5111,0.180694,18,2,184.635,45.8432,46.1505,46.3664,46.5168,1.62072,-0.00458437,-0.00565742,13.5111,-0.0100356,-0.0471643,-0.637242
0.14,-6.9,-0.0100356,13.5111,0.225549,18,2,193.572,46.0337,46.1569,46.3231,46.6369,1.89098,-0.0062408,-0.00660083,13.5111,-0.0100356,-0.0471643,-0.637242
0.16,-6.9,-0.0100356,13.533,0.256645,18,2,146.219,45.8833,46.1989,46.3589,46.5222,2.16124,-0.00815227,-0.00754428,13.533,-0.0100356,-0.0472408,-0.639311
0.18,-6.9,-0.0100356,13.5333,0.268523,18,2,187.462,45.961,46.2029,46.52,46.5229,2.43194,-0.0103225,-0.00848927,13.5333,-0.0100356,-0.0472418,-0.639339
0.2,-6.9,-0.0100356,13.5333,0.273393,18,2,164.055,45.8833,46.32,46.4811,46.6789,2.70265,-0.0127486,-0.0094343,13.5333,-0.0100356,-0.0472418,-0.639339
0.22,-6.8,-0.0098902,13.5333,0.273625,17.6305,2,159.373,45.8739,46.2831,46.3292,46.6431,2.97336,-0.0154302,-0.0103759,13.5333,-0.0098902,-0.0465571,-0.630073
0.24,-6.7,-0.00974475,13.5546,0.259825,17.6,2,152.157,45.96,46.2,46.3231,46.5294,3.24406,-0.0183646,-0.0113004,13.5546,-0.00974475,-0.0459446,-0.622761
0.26,-6.50306,-0.00945831,13.5556,0.235612,17.6,2,175.144,45.9576,46.2,46.4763,46.5976,3.51519,-0.0215522,-0.0122093,13.5556,-0.00945831,-0.0445971,-0.604538
0.28,-6.39973,-0.00930802,13.5556,0.220933,17.6,2,139.989,46.1198,46.28,46.4797,46.68,3.78632,-0.0249828,-0.0130911,13.5556,-0.00930802,-0.0438884,-0.594931
0.3,-6.20423,-0.00902369,13.5556,0.22526,17.6,2,134.085,46.04,46.28,46.4366,46.68,4.05745,-0.0286505,-0.0139587,13.5556,-0.00902369,-0.0425476,-0.576757
0.32,-5.9998,-0.00872636,13.5556,0.230646,17.6,2,127.984,46.1999,46.5198,46.4402,46.5202,4.32858,-0.0325495,-0.0147961,13.5556,-0.00872636,-0.0411457,-0.557754
0.34,-5.80272,-0.00843971,13.5775,0.209911,17.6,2,121.946,46.0043,46.2843,46.5978,46.6778,4.59971,-0.0366718,-0.0156054,13.5775,-0.00843971,-0.0398583,-0.541176
0.36,-5.7,-0.00829031,13.5778,0.158337,17.6,2,116.305,45.9969,46.3569,46.4553,46.7631,4.87127,-0.0410172,-0.0163924,13.5778,-0.00829031,-0.0391536,-0.531619
0.38,-5.60273,-0.00814884,13.5778,0.0981125,17.2,2,109.891,45.9611,46.2822,46.44,46.6822,5.14282,-0.0455747,-0.0171687,13.5778,-0.00814884,-0.0384854,-0.522546
0.4,-5.6,-0.00814487,13.5778,0.0552561,16.425,2,131.5,46.04,46.4325,46.48,46.675,5.41435,-0.0503412,-0.017935,13.5778,-0.00814487,-0.0384667,-0.522292
0.42,-5.6,-0.00814487,13.5778,0.0433909,16.4,2,97.8265,45.8835,46.2023,46.48,46.5965,5.68587,-0.055316,-0.0187043,13.5778,-0.00814487,-0.0384667,-0.522292
0.44,-5.5,-0.00799943,13.5778,0.0637417,16.4,2,90.0663,46.1998,46.3596,46.5204,46.68,5.95738,-0.0604992,-0.0194702,13.5778,-0.00799943,-0.0377797,-0.512965
0.46,-5.4049,-0.00786111,13.5778,0.10704,16,2,61.9019,46.0078,46.2839,46.48,46.6839,6.2289,-0.0658883,-0.0202191,13.5778,-0.00786111,-0.0371265,-0.504095
0.48,-5.29991,-0.0077084,13.5778,0.150751,16,2,75.9963,46.04,46.3201,46.6,46.64,6.50042,-0.0714792,-0.0209548,13.5778,-0.0077084,-0.0364052,-0.494302
0.5,-5.2,-0.00756309,13.5778,0.159552,16,2,62.4192,45.9634,46.4783,46.6766,46.7933,6.77194,-0.077268,-0.021676,13.5778,-0.00756309,-0.0357189,-0.484984
0.52,-4.99957,-0.00727158,13.6,0.105226,16,2,59.8887,46.0397,46.2,46.4393,46.7993,7.04346,-0.0832506,-0.0223801,13.6,-0.00727158,-0.0343984,-0.467818
0.54,-4.9,-0.00712676,13.6,-0.00177449,16,2,50.6721,46.2934,46.3482,46.28,46.4918,7.31541,-0.0894305,-0.0230578,13.6,-0.00712676,-0.0337132,-0.4585
0.56,-4.8,-0.00698132,13.6,-0.109799,15.6112,2,44.1119,45.8478,46.1656,46.4755,46.52,7.58734,-0.0957927,-0.0237252,13.6,-0.00698132,-0.0330252,-0.449143
0.58,-4.69793,-0.00683286,13.5778,-0.166794,15.1834,2,24.1244,45.965,46.2783,46.5192,46.5233,7.85924,-0.102334,-0.0243787,13.5778,-0.00683286,-0.0322701,-0.438156
0.6,-4.6,-0.00669043,13.5778,-0.160952,14.0108,2,26.1081,45.9665,46.1611,46.48,46.68,8.13068,-0.10904,-0.0250172,13.5778,-0.00669043,-0.0315974,-0.429022
0.62,-4.40771,-0.00641075,13.5778,-0.117832,13.2,2,13.3835,45.9508,46.1969,46.36,46.4892,8.40211,-0.115917,-0.0256391,13.5778,-0.00641075,-0.0302765,-0.411088
0.64,-4.20554,-0.00611671,13.5778,-0.0685098,13.2,2,2.44338,46.0022,46.28,46.6378,46.5933,8.67356,-0.122959,-0.026231,13.5778,-0.00611671,-0.0288878,-0.392232
0.66,-3.89945,-0.00567152,13.5778,-0.0299513,13.2,2,-12.0166,45.9601,46.32,46.5199,46.7597,8.945,-0.130157,-0.0267913,13.5778,-0.00567152,-0.0267852,-0.363683
0.68,-3.60438,-0.00524237,13.5778,-0.00609103,13.2,2,-19.9123,46.0382,46.3582,46.4418,46.64,9.21645,-0.137503,-0.0273063,13.5778,-0.00524237,-0.0247584,-0.336164
0.7,-3.19683,-0.0046496,13.5778,0.00571544,13.2,2,-14.0634,45.9994,46.2787,46.36,46.4806,9.4879,-0.144982,-0.0277774,13.5778,-0.0046496,-0.0219589,-0.298152
0.72,-2.8078,-0.00408378,13.5778,0.0102495,13.2,2,-41.0638,46.0369,46.2,46.4753,46.4816,9.75935,-0.152581,-0.0281892,13.5778,-0.00408378,-0.0192866,-0.261869
0.74,-2.50208,-0.00363913,13.5778,0.011926,13.2,2,39.875,46.1992,46.2,46.3625,46.7942,10.0308,-0.160285,-0.0285511,13.5778,-0.00363913,-0.0171866,-0.233356
0.76,-2.3,-0.00334521,13.5778,0.0136038,12.8,2,-31.6664,46.2,46.3544,46.3339,46.6028,10.3022,-0.168083,-0.0288774,13.5778,-0.00334521,-0.0157985,-0.214509
0.78,-2.10309,-0.00305882,13.5778,0.0160387,12.4124,2,-12.3089,46.0437,46.2812,46.7765,46.4812,10.5737,-0.175965,-0.0291796,13.5778,-0.00305882,-0.0144459,-0.196144
0.8,-2.09774,-0.00305104,13.5778,0.0175203,12.409,2,-75.2656,46.16,46.36,46.6791,46.6009,10.8451,-0.183926,-0.0294616,13.5778,-0.00305104,-0.0144092,-0.195645
0.82,-2,-0.00290888,13.5778,0.0135937,12.413,2,-130,46.0439,46.3213,46.5239,46.7948,11.1166,-0.191965,-0.0297462,13.5778,-0.00290888,-0.0137378,-0.186529
0.84,-2,-0.00290888,13.5778,-0.00280907,12.4,2,-187.115,46.2,46.36,46.4427,46.5282,11.388,-0.200078,-0.0300176,13.5778,-0.00290888,-0.0137378,-0.186529
0.86,-1.9,-0.00276344,13.5778,-0.0400533,12.4,2,-171.884,46.0417,46.2012,46.2017,46.3206,11.6594,-0.208265,-0.030289,13.5778,-0.00276344,-0.0130509,-0.177203
0.88,-1.80668,-0.00262772,13.5778,-0.104171,12.4267,2,-255.995,46.152,46.2747,46.28,46.2827,11.9309,-0.216524,-0.0305433,13.5778,-0.00262772,-0.01241,-0.1685
0.9,-1.70094,-0.00247392,13.5778,-0.19176,12.7962,2,-221.622,46.1996,46.1604,46.3204,46.44,12.2023,-0.224849,-0.0307847,13.5778,-0.00247392,-0.0116836,-0.158638
0.92,-1.7,-0.00247255,13.5778,-0.284925,12.4,2,-276.047,46.1628,46.1972,46.28,46.44,12.4737,-0.233238,-0.0310147,13.5778,-0.00247255,-0.0116771,-0.15855
0.94,-1.7,-0.00247255,13.5562,-0.361373,12.7765,2,-221.648,46.04,46.2,46.3177,46.28,12.745,-0.241689,-0.0312481,13.5562,-0.00247255,-0.0116586,-0.158046
0.96,-1.7,-0.00247255,13.5556,-0.412305,12.4,2,-231.926,45.881,46.041,46.36,46.3595,13.0159,-0.250189,-0.0314812,13.5556,-0.00247255,-0.011658,-0.158031
0.98,-1.7,-0.00247255,13.5486,-0.442466,12.7772,2,-243.48,45.9554,46.16,46.1668,46.36,13.2868,-0.258751,-0.0317143,13.5486,-0.00247255,-0.0116521,-0.157869
1,-1.70041,-0.00247314,13.5333,-0.457416,12.4,2,-250.016,45.8006,45.96,46.1994,46.2795,13.5576,-0.267372,-0.0319473,13.5333,-0.00247314,-0.0116417,-0.157551
