t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,accel_pedal_pct,brake_pedal_state,di_torque_actual_nm,wheel_FL_kph,wheel_FR_kph,wheel_RL_kph,wheel_RR_kph,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,psi_dot_rads,a_y_mps2
0,0.7,0.00101811,21.4773,-0.550945,0,2,-237.974,73.64,73.6,73.2,73.3203,0,0,0,21.4773,0.00101811,0.00760564,0.163349
0.02,0.7,0.00101811,21.4667,-0.550213,0,2,-248.216,73.6357,73.48,73.2043,73.1586,0.429436,3.2653e-05,0.000152074,21.4667,0.00101811,0.00760188,0.163187
0.04,0.7,0.00101811,21.455,-0.549126,0,2,-258.005,73.48,73.5999,73.1599,73,0.858659,0.000130547,0.000304073,21.455,0.00101811,0.00759774,0.163009
0.06,0.7,0.00101811,21.4444,-0.548348,0,2,-278.878,73.358,73.482,73,73,1.28765,0.000293576,0.000455988,21.4444,0.00101811,0.00759401,0.162849
0.08,0.7,0.00101811,21.4334,-0.547103,0,2,-272.215,73.4389,73.4407,72.8811,73.0396,1.71643,0.000521648,0.00060783,21.4334,0.00101811,0.00759009,0.162681
0.1,0.7,0.00101811,21.4222,-0.545074,0,2,-290.368,73.5184,73.3584,72.9551,72.9984,2.14499,0.000814658,0.000759593,21.4222,0.00101811,0.00758614,0.162512
0.12,0.7,0.00101811,21.4106,-0.543437,0,2,-298.691,73.3617,73.2806,72.9977,72.8812,2.57332,0.0011725,0.000911277,21.4106,0.00101811,0.00758202,0.162336
0.14,0.7,0.00101811,21.4,-0.545804,0,2,-342.022,73.28,73.3203,72.8396,72.72,3.00142,0.00159508,0.00106288,21.4,0.00101811,0.00757827,0.162175
0.16,0.7,0.00101811,21.3889,-0.557637,0,2,-318.192,73.28,73.4742,72.7181,72.7238,3.42931,0.00208229,0.00121441,21.3889,0.00101811,0.00757433,0.162006
0.18,0.7,0.00101811,21.3778,-0.584726,0,2,-343.935,73.28,73.2802,72.6401,72.8,3.85698,0.00263403,0.00136585,21.3778,0.00101811,0.0075704,0.161838
0.2,0.7,0.00101811,21.3662,-0.631116,0,2,-322.741,73.32,73.1941,72.637,72.717,4.28442,0.0032502,0.00151722,21.3662,0.00101811,0.00756629,0.161663
0.22,0.7,0.00101811,21.3556,-0.694558,0,2,-389.094,73.1238,72.883,72.717,72.5615,4.71161,0.00393067,0.0016685,21.3556,0.00101811,0.00756253,0.161502
0.24,0.7,0.00101811,21.3443,-0.761286,0,2,-356.284,73.0394,73.1182,72.4818,72.4009,5.13859,0.00467535,0.0018197,21.3443,0.00101811,0.00755854,0.161332
0.26,0.7,0.00101811,21.3219,-0.811082,0,2,-376.375,72.95,73.1513,72.3975,72.4,5.56532,0.00548412,0.00197082,21.3219,0.00101811,0.00755061,0.160993
0.28,0.7,0.00101811,21.2998,-0.835065,0,2,-374.403,72.7954,72.8412,72.32,72.5165,5.99159,0.00635641,0.00212177,21.2998,0.00101811,0.00754277,0.160659
0.3,0.7,0.00101811,21.2889,-0.842859,0,2,-434.288,73.1568,72.9574,72.3174,72.3187,6.41742,0.00729202,0.00227257,21.2889,0.00101811,0.00753893,0.160495
0.32,0.7,0.00101811,21.2775,-0.844793,0,2,-370.426,72.7269,72.6835,72.3931,72.24,6.84303,0.00829132,0.00242329,21.2775,0.00101811,0.00753491,0.160324
0.34,0.7,0.00101811,21.2557,-0.83728,0,2,-420.242,72.8303,72.8424,72.0327,71.9927,7.26841,0.00935418,0.00257393,21.2557,0.00101811,0.00752716,0.159995
0.36,0.7,0.00101811,21.2332,-0.815191,0,2,-379.809,72.64,72.8792,72.04,72.0419,7.69335,0.0104799,0.00272441,21.2332,0.00101811,0.00751921,0.159657
0.38,0.7,0.00101811,21.2222,-0.786056,0,2,-420.315,72.8021,72.6821,71.9958,72.2295,8.11785,0.0116684,0.00287474,21.2222,0.00101811,0.00751532,0.159492
0.4,0.7,0.00101811,21.211,-0.76128,0,2,-471.738,72.7197,72.6797,71.6426,71.7617,8.54214,0.0129199,0.00302499,21.211,0.00101811,0.00751134,0.159323
0.42,0.7,0.00101811,21.1888,-0.745087,0,2,-411.816,72.6779,72.64,72.2272,71.9872,8.9662,0.0142346,0.00317516,21.1888,0.00101811,0.00750347,0.158989
0.44,0.7,0.00101811,21.1778,-0.738526,0,2,-492.34,72.5566,72.64,71.7166,71.7166,9.38983,0.0156114,0.00332518,21.1778,0.00101811,0.00749958,0.158824
0.46,0.7,0.00101811,21.1662,-0.742305,0,2,-452.398,72.48,72.64,71.759,71.7193,9.81323,0.0170511,0.00347512,21.1662,0.00101811,0.00749548,0.158651
0.48,0.7,0.00101811,21.1445,-0.754771,0,2,-488.141,72.52,72.48,71.64,71.7986,10.2364,0.0185534,0.00362497,21.1445,0.00101811,0.00748781,0.158326
0.5,0.7,0.00101811,21.1333,-0.774078,0,2,-478.133,72.52,72.3611,71.6004,71.6015,10.6591,0.0201174,0.00377468,21.1333,0.00101811,0.00748384,0.158158
0.52,0.7,0.00101811,21.1217,-0.796356,0,2,-486.2,72.356,72.3213,71.7973,71.596,11.0817,0.0217439,0.0039243,21.1217,0.00101811,0.00747972,0.157985
0.54,0.7,0.00101811,21.0995,-0.813611,0,2,-541.752,72.3196,72.36,71.322,71.3208,11.5039,0.0234326,0.00407384,21.0995,0.00101811,0.00747187,0.157653
0.56,0.7,0.00101811,21.0773,-0.82598,0,2,-506.179,72.08,72.3529,71.3946,71.44,11.9257,0.0251825,0.00422322,21.0773,0.00101811,0.007464,0.157321
0.58,0.7,0.00101811,21.0667,-0.849843,0,2,-546.982,72.1968,72.0443,71.28,71.4789,12.3471,0.0269936,0.00437244,21.0667,0.00101811,0.00746023,0.157162
0.6,0.6,0.000872665,21.0552,-0.901152,0,2,-524.169,72.1566,72,71.16,71.2789,12.7683,0.0288657,0.00451626,21.0552,0.000872665,0.00639099,0.134563
0.62,0.6,0.000872665,21.033,-0.977846,0,2,-533.899,71.923,71.883,71.3939,71.162,13.1892,0.0307929,0.0046387,21.033,0.000872665,0.00638427,0.13428
0.64,0.6,0.000872665,21.0111,-1.06663,0,2,-545.789,71.8021,71.9189,70.9674,70.9632,13.6097,0.0327701,0.00476632,21.0111,0.000872665,0.00637761,0.134001
