t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,accel_pedal_pct,brake_pedal_state,di_torque_actual_nm,wheel_FL_kph,wheel_FR_kph,wheel_RL_kph,wheel_RR_kph,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,psi_dot_rads,a_y_mps2
0,-1.29693,-0.00188631,12.6222,0.371879,0,2,324.061,43.3975,43.3188,43.44,43.4425,0,0,0,12.6222,-0.00188631,-0.00828154,-0.104531
0.02,-1.29602,-0.00188498,12.6227,0.371846,0,2,325.841,43.4,43.2848,43.4384,43.512,0.252519,-2.09137e-05,-0.000165621,12.6227,-0.00188498,-0.00827601,-0.104465
0.04,-1.20441,-0.00175175,12.6444,0.371007,0,2,322,43.4,43.44,43.44,43.32,0.505046,-8.33943e-05,-0.000328235,12.6444,-0.00175175,-0.00770431,-0.0974168
0.06,-1.20385,-0.00175092,12.6444,0.370791,0,2,320.077,43.4,43.4015,43.5169,43.4354,0.758009,-0.000185672,-0.000479418,12.6444,-0.00175092,-0.00770069,-0.097371
0.08,-1.2,-0.00174533,12.6444,0.373035,0,2,318,43.52,43.4,43.52,43.5583,1.01097,-0.00032642,-0.000633336,12.6444,-0.00174533,-0.00767608,-0.0970598
0.1,-1.3,-0.00189077,12.6667,0.374709,0,2,312.004,43.3201,43.4,43.6799,43.8399,1.26394,-0.000506314,-0.000789979,12.6667,-0.00189077,-0.00833037,-0.105518
0.12,-1.3,-0.00189077,12.6667,0.374391,0,2,311.997,43.4002,43.4402,43.7199,43.5999,1.51734,-0.000727888,-0.000959841,12.6667,-0.00189077,-0.00833037,-0.105518
0.14,-1.4,-0.00203622,12.6671,0.372589,0,2,310.158,43.5584,43.5584,43.5584,43.52,1.77075,-0.000992506,-0.0011297,12.6671,-0.00203622,-0.00897148,-0.113643
0.16,-1.4,-0.00203622,12.6889,0.36575,0,2,304,43.5238,43.44,43.6,43.68,2.02417,-0.0013018,-0.00131239,12.6889,-0.00203622,-0.00898691,-0.114034
0.18,-1.4981,-0.0021789,12.6889,0.352429,0,2,307.924,43.6,43.5577,43.6,43.68,2.27802,-0.00165804,-0.00149533,12.6889,-0.0021789,-0.00961665,-0.122025
0.2,-1.5,-0.00218166,12.6889,0.334016,0,2,294.077,43.5208,43.6,43.6792,43.5208,2.53187,-0.00206232,-0.00169093,12.6889,-0.00218166,-0.00962884,-0.122179
0.22,-1.5,-0.00218166,12.7111,0.310954,0,2,297.979,43.6002,43.6001,43.6799,43.5601,2.78571,-0.00251601,-0.00188362,12.7111,-0.00218166,-0.0096457,-0.122608
0.24,-1.5,-0.00218166,12.7111,0.292436,0,2,295.961,43.6792,43.5992,43.6012,43.6016,3.03999,-0.00301951,-0.00207658,12.7111,-0.00218166,-0.0096457,-0.122608
0.26,-1.5,-0.00218166,12.7111,0.293644,0,2,289.941,43.5247,43.5612,43.7624,43.9976,3.29428,-0.00357208,-0.00226954,12.7111,-0.00218166,-0.0096457,-0.122608
0.28,-1.5,-0.00218166,12.7111,0.313194,0,2,305.624,43.68,43.6783,43.84,43.8417,3.54856,-0.00417371,-0.00246249,12.7111,-0.00218166,-0.0096457,-0.122608
0.3,-1.60117,-0.0023288,12.7333,0.333035,0,2,287.907,43.5605,43.72,43.7595,43.68,3.80284,-0.00482469,-0.00265871,12.7333,-0.0023288,-0.0103143,-0.131335
0.32,-1.7,-0.00247255,12.7333,0.341132,0,2,277.981,43.6807,43.7593,43.7204,43.7611,4.05757,-0.00552878,-0.00287149,12.7333,-0.00247255,-0.0109509,-0.139442
0.34,-1.7,-0.00247255,12.7335,0.335266,0,2,309.51,43.76,43.6805,43.76,43.9985,4.31231,-0.00628843,-0.00309375,12.7335,-0.00247255,-0.010951,-0.139445
0.36,-1.8,-0.00261799,12.7556,0.315718,0,2,270.354,43.7191,43.76,43.76,43.72,4.56704,-0.00710469,-0.00331605,12.7556,-0.00261799,-0.0116153,-0.14816
0.38,-1.8,-0.00261799,12.7556,0.292209,0,2,254.138,43.7207,43.8386,43.8386,43.7207,4.82221,-0.00798078,-0.00355165,12.7556,-0.00261799,-0.0116153,-0.14816
0.4,-1.9,-0.00276344,12.7556,0.280271,0,2,265.786,43.8379,43.76,43.7621,43.8411,5.07738,-0.00891697,-0.00378723,12.7556,-0.00276344,-0.0122606,-0.156391
0.42,-1.9519,-0.00283893,12.7559,0.279868,0,2,249.842,43.7587,43.76,43.8839,44.0053,5.33255,-0.00991506,-0.0040374,12.7559,-0.00283893,-0.0125959,-0.160672
0.44,-2.10238,-0.00305779,12.7778,0.277725,0,2,242.143,43.721,43.7619,44,44.0762,5.58772,-0.010978,-0.00429591,12.7778,-0.00305779,-0.0135902,-0.173653
0.46,-2.3,-0.00334521,12.7778,0.272597,0,2,265.06,43.88,43.9191,43.8791,43.8773,5.84333,-0.0121118,-0.00457902,12.7778,-0.00334521,-0.0148677,-0.189976
0.48,-2.40084,-0.00349189,12.7778,0.275296,0,2,242.169,43.84,43.8797,43.8403,43.881,6.09893,-0.0133211,-0.00488609,12.7778,-0.00349189,-0.0155196,-0.198305
0.5,-2.5,-0.0036361,12.7779,0.284354,0,2,239.756,43.92,43.88,43.88,44.0395,6.35454,-0.0146102,-0.00520301,12.7779,-0.0036361,-0.0161607,-0.2065
