t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,accel_pedal_pct,brake_pedal_state,di_torque_actual_nm,wheel_FL_kph,wheel_FR_kph,wheel_RL_kph,wheel_RR_kph,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,psi_dot_rads,a_y_mps2
0,-2,-0.00290888,35.0222,-0.0223201,21.4408,2,216,120.216,120.2,120.36,120.432,0,0,0,35.0222,-0.00290888,-0.0354351,-1.24101
0.02,-2,-0.00290888,35.0222,-0.0182595,21.2,2,216,119.96,120.12,120.44,120.2,0.70044,-0.0002482,-0.000708697,35.0222,-0.00290888,-0.0354351,-1.24101
0.04,-2,-0.00290888,35.0222,-0.0044675,21.3582,2,216,120.151,120.152,120.32,120.407,1.40088,-0.0009928,-0.00141739,35.0222,-0.00290888,-0.0354351,-1.24101
0.06,-2,-0.00290888,35.0222,0.0230283,21.2,2,216,120.122,120.28,120.367,120.393,2.10132,-0.00223381,-0.00212609,35.0222,-0.00290888,-0.0354351,-1.24101
0.08,-2,-0.00290888,35.0222,0.0677797,21.2,2,216,119.944,120.16,120.36,120.2,2.80177,-0.00397123,-0.0028348,35.0222,-0.00290888,-0.0354351,-1.24101
0.1,-2,-0.00290888,35.0222,0.127756,21.2,2,216,120.199,120.176,120.344,120.44,3.50222,-0.0062051,-0.00354352,35.0222,-0.00290888,-0.0354351,-1.24101
0.12,-2,-0.00290888,35.0222,0.18882,21.2,2,216,120.135,120.32,120.296,120.375,4.20269,-0.00893544,-0.00425224,35.0222,-0.00290888,-0.0354351,-1.24101
0.14,-2,-0.00290888,35.0265,0.225097,21.4432,2,216.784,120.016,120.184,120.358,120.247,4.90316,-0.0121623,-0.00496098,35.0265,-0.00290888,-0.0354394,-1.24132
0.16,-2,-0.00290888,35.0444,0.216174,21.2,2,216,120.135,120.183,120.433,120.44,5.60373,-0.0158861,-0.00566982,35.0444,-0.00290888,-0.0354575,-1.24259
0.18,-2,-0.00290888,35.0444,0.167159,21.2,2,216,120.191,120.345,120.295,120.396,6.30465,-0.0201088,-0.00637901,35.0444,-0.00290888,-0.0354575,-1.24259
0.2,-2.05761,-0.00299267,35.0444,0.103853,21.2,2,216,119.96,120.086,120.371,120.297,7.00556,-0.0248297,-0.0070933,35.0444,-0.00299267,-0.0364788,-1.27838
