t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,accel_pedal_pct,brake_pedal_state,di_torque_actual_nm,wheel_FL_kph,wheel_FR_kph,wheel_RL_kph,wheel_RR_kph,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,psi_dot_rads,a_y_mps2
0,-5.6,-0.00814487,0,-4.32758e-158,0,2,0,0,0,0,0,0,0,0,0,-0.00814487,-0,-0
0.02,-5.6,-0.00814487,0,-6.59202e-158,0,2,0,0,0,0,0,-8.65517e-162,0,2.45206e-164,0,-0.00814487,-0,-0
0.04,-5.69832,-0.00828787,0,-1.14475e-157,0,2,0,0,0,0,0,-2.18392e-161,0,6.20904e-164,0,-0.00828787,-0,-0
0.06,-5.6,-0.00814487,0,-1.57274e-157,0,2,0,0,0,0,0,-4.47343e-161,0,1.28092e-163,0,-0.00814487,-0,-0
0.08,-5.6,-0.00814487,0,-1.58153e-157,0,2,0,0,0,0,0,-7.61891e-161,-4.94066e-324,2.16684e-163,0,-0.00814487,-0,-0
0.1,-5.6,-0.00814487,0,-5.69078e-158,0,2,0,0,0,0,0,-1.0782e-160,-1.4822e-323,3.06296e-163,0,-0.00814487,-0,-0
0.12,-5.6,-0.00814487,0,2.25552e-157,0,2,0,0,0,0,0,-1.19201e-160,-1.97626e-323,3.3854e-163,0,-0.00814487,-0,-0
0.14,-5.6,-0.00814487,0,7.62375e-157,0,2,0,0,0,0,0,-7.40907e-161,-4.94066e-324,2.10739e-163,0,-0.00814487,-0,-0
0.16,-5.60043,-0.00814549,0,1.5645e-156,0,2,0,0,0,0,0,7.83844e-161,-4.94066e-324,-2.21243e-163,0,-0.00814549,-0,-0
0.18,-5.6,-0.00814487,0,2.48501e-156,0,2,0,0,0,0,0,3.91284e-160,-2.12448e-322,-1.10778e-162,0,-0.00814487,-0,-0
0.2,-5.6,-0.00814487,0,3.09064e-156,0,2,0,0,0,0,0,8.88287e-160,-1.11165e-321,-2.51578e-162,0,-0.00814487,-0,-0
0.22,-5.6,-0.00814487,0,2.53761e-156,0,2,0,0,0,0,0,1.50641e-159,-3.20649e-321,-4.26697e-162,0,-0.00814487,-0,-0
0.24,-5.6,-0.00814487,0,-4.60763e-157,0,2,0,0,0,0,0,2.01394e-159,-5.7361e-321,-5.70481e-162,0,-0.00814487,-0,-0
0.26,-5.6,-0.00814487,0,-7.42306e-156,0,2,0,0,0,0,0,1.92178e-159,-5.22227e-321,-5.44374e-162,0,-0.00814487,-0,-0
0.28,-5.6,-0.00814487,0,-1.94371e-155,0,2,0,0,0,0,0,4.37171e-160,-2.61855e-322,-1.23774e-162,0,-0.00814487,-0,-0
0.3,-5.6,-0.00814487,0,-3.58359e-155,0,2,0,0,0,0,0,-3.45024e-159,-1.68575e-320,9.77553e-162,0,-0.00814487,-0,-0
0.32,-5.6,-0.00814487,0,-5.21381e-155,0,2,0,0,0,0,0,-1.06174e-158,-1.59687e-319,3.00806e-161,0,-0.00814487,-0,-0
0.34,-5.6,-0.00814487,0,-5.75504e-155,0,2,0,0,0,0,0,-2.1045e-158,-6.27384e-319,5.96227e-161,0,-0.00814487,-0,-0
0.36,-5.6,-0.00814487,0,-3.30447e-155,0,2,0,0,0,0,0,-3.25551e-158,-1.50131e-318,9.22314e-161,0,-0.00814487,-0,-0
0.38,-5.6,-0.00814487,0,4.79187e-155,0,2,0,0,0,0,0,-3.91641e-158,-2.17274e-318,1.10955e-160,0,-0.00814487,-0,-0
0.4,-5.6,-0.00814487,0,2.12729e-154,0,2,0,0,0,0,0,-2.95803e-158,-1.23948e-318,8.38037e-161,0,-0.00814487,-0,-0
0.42,-5.6,-0.00814487,0,4.7293e-154,0,2,0,0,0,0,0,1.29655e-158,-2.38115e-319,-3.67312e-161,0,-0.00814487,-0,-0
0.44,-5.6,-0.00814487,0,7.94137e-154,0,2,0,0,0,0,0,1.07552e-157,-1.63854e-317,-3.04699e-160,0,-0.00814487,-0,-0
0.46,-5.6,-0.00814487,0,1.05318e-153,0,2,0,0,0,0,0,2.66379e-157,-1.00514e-316,-7.54667e-160,0,-0.00814487,-0,-0
0.48,-5.6,-0.00814487,0,9.92301e-154,0,2,0,0,0,0,0,4.77014e-157,-3.22321e-316,-1.35141e-159,0,-0.00814487,-0,-0
0.5,-5.6,-0.00814487,0,1.96229e-154,0,2,0,0,0,0,0,6.75475e-157,-6.46314e-316,-1.91366e-159,0,-0.00814487,-0,-0
0.52,-5.6,-0.00814487,0,-1.86049e-153,0,2,0,0,0,0,0,7.14721e-157,-7.23599e-316,-2.02485e-159,0,-0.00814487,-0,-0
0.54,-5.6,-0.00814487,0,-5.62677e-153,0,2,0,0,0,0,0,3.42622e-157,-1.66286e-316,-9.70667e-160,0,-0.00814487,-0,-0
0.56,-5.6,-0.00814487,0,-1.10726e-152,0,2,0,0,0,0,0,-7.82731e-157,-8.67864e-316,2.21753e-159,0,-0.00814487,-0,-0
0.58,-5.6,-0.00814487,0,-1.70276e-152,0,2,0,0,0,0,0,-2.99725e-156,-1.27254e-314,8.4914e-159,0,-0.00814487,-0,-0
0.6,-5.6,-0.00814487,0,-2.03235e-152,0,2,0,0,0,0,0,-6.40277e-156,-5.80712e-314,1.81394e-158,0,-0.00814487,-0,-0
0.62,-5.60311,-0.00814939,0,-1.50237e-152,0,2,0,0,0,0,0,-1.04675e-155,-1.55209e-313,2.96571e-158,0,-0.00814939,-0,-0
0.64,-5.6,-0.00814487,0,7.63501e-153,0,2,0,0,0,0,0,-1.34722e-155,-2.57117e-313,3.81744e-158,0,-0.00814487,-0,-0
0.66,-5.6,-0.00814487,0,5.75345e-152,0,2,0,0,0,0,0,-1.19452e-155,-2.02127e-313,3.38491e-158,0,-0.00814487,-0,-0
0.68,-5.6,-0.00814487,0,1.40808e-151,0,2,0,0,0,0,0,-4.383e-157,-1.89902e-316,1.24938e-159,0,-0.00814487,-0,-0
0.7,-5.6,-0.00814487,0,2.50499e-151,0,2,0,0,0,0,0,2.77233e-155,-1.08842e-312,-7.85342e-158,0,-0.00814487,-0,-0
0.72,-5.6,-0.00814487,0,3.52487e-151,0,2,0,0,0,0,0,7.78231e-155,-8.57844e-312,-2.2047e-157,0,-0.00814487,-0,-0
0.74,-5.6,-0.00814487,0,3.69154e-151,0,2,0,0,0,0,0,1.48321e-154,-3.1161e-311,-4.20193e-157,0,-0.00814487,-0,-0
0.76,-5.6,-0.00814487,0,1.68236e-151,0,2,0,0,0,0,0,2.22151e-154,-6.99057e-311,-6.29361e-157,0,-0.00814487,-0,-0
0.78,-5.6,-0.00814487,0,-4.28445e-151,0,2,0,0,0,0,0,2.55799e-154,-9.26857e-311,-7.24685e-157,0,-0.00814487,-0,-0
0.8,-5.6,-0.00814487,0,-1.59384e-150,0,2,0,0,0,0,0,1.70109e-154,-4.09891e-311,-4.81923e-157,0,-0.00814487,-0,-0
0.82,-5.6,-0.00814487,0,-3.3752e-150,0,2,0,0,0,0,0,-1.48659e-154,-3.13057e-311,4.21168e-157,0,-0.00814487,-0,-0
0.84,-5.6,-0.00814487,0,-5.48433e-150,0,2,0,0,0,0,0,-8.23698e-154,-9.61093e-310,2.3336e-156,0,-0.00814487,-0,-0
0.86,-5.6,-0.00814487,0,-7.0089e-150,0,2,0,0,0,0,0,-1.92056e-153,-5.22498e-309,5.44108e-156,0,-0.00814487,-0,-0
0.88,-5.6,-0.00814487,0,-6.12088e-150,0,2,0,0,0,0,0,-3.32234e-153,-1.56357e-308,9.41241e-156,0,-0.00814487,-0,-0
0.9,-5.6,-0.00814487,0,3.11459e-152,0,2,0,0,0,0,0,-4.54652e-153,-2.92809e-308,1.28806e-155,0,-0.00814487,-0,-0
0.92,-5.6,-0.00814487,0,1.49139e-149,0,2,0,0,0,0,0,-4.54029e-153,-2.92007e-308,1.28629e-155,0,-0.00814487,-0,-0
0.94,-5.6,-0.00814487,0,4.12187e-149,0,2,0,0,0,0,0,-1.55751e-153,-3.4363e-309,4.41254e-156,0,-0.00814487,-0,-0
0.96,-5.6,-0.00814487,0,7.79994e-149,0,2,0,0,0,0,0,6.68622e-153,-6.33268e-308,-1.89425e-155,0,-0.00814487,-0,-0
0.98,-5.6,-0.00814487,0,1.16116e-148,0,2,0,0,0,0,0,2.22861e-152,-7.03548e-307,-6.31379e-155,0,-0.00814487,-0,-0
1,-5.6,-0.00814487,0,1.32556e-148,0,2,0,0,0,0,0,4.55094e-152,-2.93378e-306,-1.28931e-154,0,-0.00814487,-0,-0
1.02,-5.6,-0.00814487,0,8.57384e-149,0,2,0,0,0,0,0,7.20207e-152,-7.34751e-306,-2.04039e-154,0,-0.00814487,-0,-0
1.04,-5.6025,-0.00814851,0,-8.37185e-149,0,2,0,0,0,0,0,8.91684e-152,-1.12629e-305,-2.52627e-154,0,-0.00814851,-0,-0
1.06,-5.6,-0.00814487,0,-4.39502e-148,0,2,0,0,0,0,0,7.24247e-152,-7.43028e-306,-2.0517e-154,0,-0.00814487,-0,-0
1.08,-5.69494,-0.00828295,0,-1.0141e-147,0,2,0,0,0,0,0,-1.54757e-152,-3.85752e-307,4.52278e-155,0,-0.00828295,-0,-0
1.1,-5.60046,-0.00814553,0,-1.74321e-147,0,2,0,0,0,0,0,-2.18296e-151,-6.88187e-305,6.29589e-154,0,-0.00814553,-0,-0
1.12,-5.6,-0.00814487,0,-2.37002e-147,0,2,0,0,0,0,0,-5.66938e-151,-4.59784e-304,1.61181e-153,0,-0.00814487,-0,-0
1.14,-5.6,-0.00814487,0,-2.33933e-147,0,2,0,0,0,0,0,-1.04094e-150,-1.54205e-303,2.95465e-153,0,-0.00814487,-0,-0
1.16,-5.6,-0.00814487,0,-7.35923e-148,0,2,0,0,0,0,0,-1.50881e-150,-3.23451e-303,4.28015e-153,0,-0.00814487,-0,-0
1.18,-5.6,-0.00814487,0,3.62931e-147,0,2,0,0,0,0,0,-1.65599e-150,-3.89517e-303,4.69713e-153,0,-0.00814487,-0,-0
1.2,-5.6,-0.00814487,0,1.18317e-146,0,2,0,0,0,0,0,-9.3013e-151,-1.23203e-303,2.64072e-153,0,-0.00814487,-0,-0
1.22,-5.6,-0.00814487,0,2.39682e-146,0,2,0,0,0,0,0,1.43621e-150,-2.91516e-303,-4.06328e-153,0,-0.00814487,-0,-0
1.24,-5.6,-0.00814487,0,3.77021e-146,0,2,0,0,0,0,0,6.22986e-150,-5.49436e-302,-1.7644e-152,0,-0.00814487,-0,-0
1.26,-5.6,-0.00814487,0,4.63286e-146,0,2,0,0,0,0,0,1.37703e-149,-2.68527e-301,-3.90064e-152,0,-0.00814487,-0,-0
