t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,accel_pedal_pct,brake_pedal_state,di_torque_actual_nm,wheel_FL_kph,wheel_FR_kph,wheel_RL_kph,wheel_RR_kph,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,psi_dot_rads,a_y_mps2
0,6.1796,0.00898787,2.51111,-0.00439157,11.4939,2,27.4693,8.6,8.6,8.64,8.6,0,0,0,2.51111,0.00898787,0.00785048,0.0197134
0.02,5.75897,0.00837608,2.51111,-0.00608164,11.6,2,27.1793,8.6,8.56,8.64,8.6,0.0502213,3.85309e-06,0.000151663,2.51111,0.00837608,0.00731609,0.0183715
0.04,5.2813,0.00768134,2.51111,-0.0093259,11.8916,2,21.626,8.6,8.56,8.64,8.6,0.100442,1.50484e-05,0.000292275,2.51111,0.00768134,0.00670924,0.0168476
0.06,4.78563,0.00696042,2.51111,-0.0110893,12.2858,2,23.4291,8.6,8.56,8.64,8.6,0.150663,3.29923e-05,0.000420273,2.51111,0.00696042,0.00607954,0.0152664
0.08,4.27545,0.0062184,2.51111,-0.0081128,12.4,2,29.9879,8.6,8.6,8.64,8.6,0.200883,5.70445e-05,0.000535469,2.51111,0.0062184,0.0054314,0.0136389
0.1,3.75542,0.00546204,2.51111,0.00440054,12.8,2,33.4458,8.64,8.6,8.64,8.6,0.251103,8.65541e-05,0.00063755,2.51111,0.00546204,0.00477076,0.0119799
0.12,3.17733,0.00462123,2.51111,0.0318374,13.2,2,38,8.64,8.6,8.69938,8.6,0.301326,0.000120853,0.000725992,2.51111,0.00462123,0.00403635,0.0101357
0.14,2.67648,0.00389278,2.51111,0.0774924,13.2,2,38,8.64,8.6,8.72,8.64,0.351555,0.000159232,0.000799874,2.51111,0.00389278,0.00340009,0.00853799
0.16,2.16096,0.00314299,2.51111,0.137439,13.4781,2,46.952,8.64,8.64,8.72,8.69562,0.401793,0.000201016,0.000861439,2.51111,0.00314299,0.00274519,0.00689348
0.18,1.75653,0.00255476,2.51111,0.194906,13.6,2,64.0431,8.64,8.64,8.72,8.72,0.452042,0.000245585,0.000910525,2.51111,0.00255476,0.00223141,0.00560333
0.2,1.36219,0.00198122,2.51867,0.22356,13.6,2,72.6219,8.72,8.64,8.64,8.72,0.502304,0.000292387,0.000950109,2.51867,0.00198122,0.00173567,0.00437158
0.22,1.12888,0.00164189,2.53333,0.206271,13.6,2,70.3104,8.72,8.64,8.61155,8.72,0.552722,0.000341098,0.00098085,2.53333,0.00164189,0.00144677,0.00366514
