n,rmse_yaw,mae_yaw,bias_yaw,rmse_ay,bias_ay,std_yaw_meas,mean_v,plat,seg
2898,0.012269278491203727,0.012217508594089025,-0.012217508594089025,0.05192904786020339,0.030650588659772254,0.001823675765342962,8.704432467218773,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/08ec7b9afc6b766e/00000000--33439c2a9c/1/sim.csv
2899,0.013108889330776884,0.012867432274294583,-0.012867432274294583,0.22160495874293099,0.20397081063980682,0.0026957375997918222,33.891359951707486,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/08ec7b9afc6b766e/00000000--33439c2a9c/10/sim.csv
2899,0.0133077383203019,0.012996165597792342,-0.012996165597792342,0.15560938378423195,0.12596536186671267,0.0030662043070929395,32.664524939634354,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/08ec7b9afc6b766e/00000000--33439c2a9c/11/sim.csv
2900,0.012976958356282214,0.012608844526027587,-0.012608703353613792,0.1309412294607148,0.07968204312572415,0.0033375629936094066,32.830365310344824,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/08ec7b9afc6b766e/00000000--33439c2a9c/12/sim.csv
2900,0.018405679687723366,0.014697526347068965,-0.011474707429827587,0.8295422437482168,0.04035685442327584,0.02734879602193673,34.87111789655172,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/08ec7b9afc6b766e/00000000--33439c2a9c/13/sim.csv
2690,0.0242390656977923,0.01923770195747212,-0.011453359726988847,0.26776935170023286,-0.07808868144052045,0.1518033696395285,6.687447234200743,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/08ec7b9afc6b766e/00000000--40c362baa3/1/sim.csv
2900,0.01819705309416423,0.017418107993793105,-0.017418107993793105,0.3356872851437632,-0.24063549235510345,0.016195661765227923,24.230642068965516,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/08ec7b9afc6b766e/00000000--40c362baa3/10/sim.csv
2332,0.00246540889236733,0.00200181836539494,0.0015727978713966553,0.07764125420454285,0.05966188326102917,0.0063685687203759635,13.923025883361921,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000003--55220ffbee/12/sim.csv
1074,0.021258882571906577,0.01607851015912477,0.0053810979282122905,0.6185717200441797,-0.16308934886219745,0.13831907039317476,24.493728975791434,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/60/sim.csv
1961,0.0020875196313600666,0.0015633595751713412,0.0010218888825961243,0.1297451249416416,-0.12219737819989801,0.004015439133887166,5.36027880673126,FORD_MUSTANG_MACH_E_MK1,/Users/javiquix/Desktop/quixdev/webinar-AI/raw-model/idea-01/agent-09/data/sim/segments/FORD_MUSTANG_MACH_E_MK1/112bd787ceca718d/00000015--8c89a7e410/62/sim.csv
