variant,platform,yaw_rmse,ay_rmse,N
V0,FORD_MUSTANG_MACH_E_MK1,0.013993139280493744,0.3511958869282866,810284
V0,FORD_F_150_LIGHTNING_MK1,0.015039928136439902,0.43242922262722383,554605
V0,ALL,0.014427651803604372,0.3862700342291369,1364889
V1,FORD_MUSTANG_MACH_E_MK1,0.013965176795710703,0.3460410025956807,810284
V1,FORD_F_150_LIGHTNING_MK1,0.014655347502329713,0.43710965717290096,554605
V1,ALL,0.014249651168114101,0.3856481936277234,1364889
V2,FORD_MUSTANG_MACH_E_MK1,0.013965176795710703,0.3460410025956807,810284
V2,FORD_F_150_LIGHTNING_MK1,0.014651015389492945,0.43791085964104126,554605
V2,ALL,0.014247840905891634,0.3860173563580712,1364889
V3,FORD_MUSTANG_MACH_E_MK1,0.012658807272956086,0.3877596017262283,810284
V3,FORD_F_150_LIGHTNING_MK1,0.011371514996357785,0.3694320209069792,554605
V3,ALL,0.012152191200566247,0.38041893986529496,1364889
V4,FORD_MUSTANG_MACH_E_MK1,0.010629672232031848,0.2843068809345665,810284
V4,FORD_F_150_LIGHTNING_MK1,0.00857962074503145,0.2456271766315894,554605
V4,ALL,0.009848266941816829,0.2692608960318671,1364889
