segment,regime,n,rmse_imu,rmse_model
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000001--82c7a5f419/105/sim.csv,all,2899,1.2321929363938073,3.394846902241931
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000001--82c7a5f419/105/sim.csv,cruise,520,2.046160954669877,3.731920566076735
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000001--82c7a5f419/105/sim.csv,accel,1168,1.3659804191243812,2.822241017461171
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000001--82c7a5f419/105/sim.csv,brake,343,0.3577098252558892,3.7760507019520753
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000001--82c7a5f419/105/sim.csv,other,868,0.036621299112140585,3.714294724275911
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000001--82c7a5f419/114/sim.csv,all,2899,0.9192051462207589,4.2165955890069835
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000001--82c7a5f419/114/sim.csv,cruise,112,1.2620100671098784,2.6082444594522554
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000001--82c7a5f419/114/sim.csv,accel,1216,0.797175727021644,4.3517678320320865
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000001--82c7a5f419/114/sim.csv,brake,1419,0.9900628446022526,3.9823381217630334
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000001--82c7a5f419/114/sim.csv,coast,17,0.5036743107234569,2.709261762947988
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000001--82c7a5f419/114/sim.csv,other,135,0.8738616666629101,6.16090760652463
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000004--2a4eb3a6f3/42/sim.csv,all,2899,0.4212386344914572,0.94036533202287
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000004--2a4eb3a6f3/42/sim.csv,accel,61,1.0644687330843952,4.508748241775831
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000004--2a4eb3a6f3/42/sim.csv,brake,2797,0.33345657644971183,0.5639352996216015
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000004--2a4eb3a6f3/42/sim.csv,other,41,1.8097161787988378,3.253441120610441
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000017--859ca44035/1/sim.csv,all,2898,3.2791515533811504,2.1006365696370604
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000017--859ca44035/1/sim.csv,cruise,583,2.871287080109346,1.8572484272881375
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000017--859ca44035/1/sim.csv,accel,1059,3.522086477395139,1.709636804151052
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000017--859ca44035/1/sim.csv,brake,779,3.5921228148382927,3.0157224175394215
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000017--859ca44035/1/sim.csv,other,477,2.5765408211669216,1.1186992333378956
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000029--a480d64c58/28/sim.csv,all,2899,0.2628206072868934,3.0496598384545943
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000029--a480d64c58/28/sim.csv,cruise,2806,0.2664764602128623,3.0530392406831552
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000029--a480d64c58/28/sim.csv,accel,93,0.10339630484510894,2.945873853294826
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000035--bed8fb06b5/12/sim.csv,all,2899,3.01538438144329,2.6454076377945905
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000035--bed8fb06b5/12/sim.csv,cruise,651,3.167716192289076,2.3109624258349073
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000035--bed8fb06b5/12/sim.csv,accel,843,2.912529410085805,2.1287589505199245
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000035--bed8fb06b5/12/sim.csv,brake,599,4.307909049773749,2.376396450671017
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/00000035--bed8fb06b5/12/sim.csv,other,806,1.3910191534783698,3.452652466317233
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000003e--17a7fc27b9/21/sim.csv,all,2899,2.5153268842551584,inf
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000003e--17a7fc27b9/21/sim.csv,cruise,643,2.105900402538229,88.82706953658743
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000003e--17a7fc27b9/21/sim.csv,accel,473,1.037571462226032,157.54365746219392
FORD_F_150_LIGHTNING_MK1/0b2c0bec9a28eb0f/0000003e--17a7fc27b9/21/sim.csv,brake,1422,2.982135220688669,inf
