t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0.0,1.2,0.00123929,7.46316,-1.3452,-0.0153395,-0.00596516,4.6,0,0.0,0.0,0.0,7.46316,0.00123929,-0.002438135559165173,-0.018196195779739154,0.0035270244408348267,-0.002856695779739153
0.02,1.2,0.00123929,7.4157,-1.3656,-0.0225609,-0.0050151,4.6,0,0.148994,3.71774e-06,4.99045e-05,7.4157,0.00123929,-0.0024519314721674866,-0.018182788218152432,0.002563168527832513,0.004378111781847566
0.04,1.2,0.00123929,7.39453,-1.38509,-0.0273492,-0.00628717,4.58848,0,0.297035,1.4776e-05,9.94897e-05,7.39453,0.00123929,-0.0024580832346320406,-0.018176370220983663,0.0038290867653679593,0.009172829779016338
0.06,1.2,0.00123929,7.34723,-1.40458,-0.0269953,-0.0052,4.5,0,0.444649,3.31111e-05,0.000148932,7.34723,0.00123929,-0.002471827087585289,-0.01816108213271926,0.0027281729124147107,0.008834217867280739
0.08,1.2,0.00123929,7.35357,-1.42901,-0.0184194,-0.00477871,4.5,0,0.591312,5.85564e-05,0.000198056,7.35357,0.00123929,-0.0024699876325183136,-0.018163226954857697,0.0023087223674816866,0.0002561730451423015
0.1,1.2,0.00123929,7.28576,-1.46156,0.000375914,-0.00491618,4.38457,0,0.738098,9.12364e-05,0.00024722,7.28576,0.00123929,-0.002489692361089543,-0.01813930101673175,0.002426487638910457,-0.018515215016731753
0.12,1.2,0.00123929,7.38341,-1.49532,0.0260933,-0.00761315,4.2,0,0.883521,0.00013073,0.000295929,7.38341,0.00123929,-0.0024613109576740915,-0.018172867938000464,0.0051518390423259085,-0.044266167938000464
0.14,1.2,0.00123929,7.1608,-1.51811,0.0495362,-0.00778571,4.1,0,1.03089,0.000177977,0.000345289,7.1608,0.00123929,-0.002526004245312614,-0.018088211199834565,0.005259705754687386,-0.06762441119983456
0.16,1.2,0.00123929,7.25975,-1.52493,0.0634973,-0.00698222,4.1,0,1.1738,0.000230744,0.000393156,7.25975,0.00123929,-0.002497249744878861,-0.01812940883538431,0.004484970255121139,-0.08162670883538431
0.18,1.2,0.00123929,7.16835,-1.5209,0.0687236,-0.00807359,4.1,0,1.31869,0.000291224,0.000441686,7.16835,0.00123929,-0.0025238090465770258,-0.018091546579030424,0.005549780953422975,-0.08681514657903042
0.2,1.2,0.00123929,7.15515,-1.51481,0.068551,-0.00609704,4.1,0,1.46175,0.000357841,0.000489604,7.15515,0.00123929,-0.0025276528135330166,-0.018085735028750764,0.003569387186466983,-0.08663673502875077
0.22,1.3,0.00134256,7.14136,-1.51264,0.061924,-0.00728809,4.1,0,1.60455,0.000431218,0.00053843,7.14136,0.00134256,-0.002358700600966316,-0.01684433012371681,0.004929389399033684,-0.07876833012371681
0.24,1.3,0.00134256,7.10259,-1.51553,0.0452791,-0.00814157,4.1,0,1.74708,0.000511691,0.000591139,7.10259,0.00134256,-0.002370908682472137,-0.016839592299039776,0.005770661317527863,-0.06211869229903978
0.26,1.3,0.00134256,7.09933,-1.52232,0.0199334,-0.00481478,4.1,0,1.88883,0.000599129,0.000642573,7.09933,0.00134256,-0.0023719325301037554,-0.016839131768941494,0.002442847469896245,-0.03677253176894149
0.28,1.4,0.00144583,7.06133,-1.53139,-0.0068519,-0.00572001,4.1,0,2.03051,0.000693859,0.000694971,7.06133,0.00144583,-0.0022128890802091575,-0.01562594004875333,0.0035071209197908427,-0.008774040048753328
0.3,1.5,0.00154911,7.01708,-1.53927,-0.0295549,-0.00596571,4.1,0,2.17143,0.000795767,0.000752003,7.01708,0.00154911,-0.0020579496975158765,-0.014440797663444707,0.003907760302484123,0.015114102336555291
0.32,1.51406,0.00156363,7.01973,-1.54354,-0.0470891,-0.00437891,4.1,0,2.31146,0.00090523,0.000811746,7.01973,0.00156363,-0.002033082347412335,-0.01427168914660079,0.002345827652587665,0.03281741085339921
0.34,1.61416,0.00166701,6.98389,-1.54628,-0.0594085,-0.00502833,4.1,0,2.45155,0.00102314,0.000872062,6.98389,0.00166701,-0.0018769108768911741,-0.013108139104011502,0.003151419123108826,0.046300360895988504
0.36,1.7,0.00175566,6.95288,-1.55032,-0.067668,-0.00618464,4.1,0,2.59092,0.00114914,0.000936661,6.95288,0.00175566,-0.0017444961420934949,-0.012129272336439019,0.004440143857906505,0.05553872766356099
0.38,1.7,0.00175566,6.95081,-1.55601,-0.0738971,-0.0054548,4.1,0,2.72967,0.00128371,0.00100333,6.95081,0.00175566,-0.0017453464562282289,-0.012131571601415736,0.0037094535437717712,0.061765528398584256
0.4,1.7,0.00175566,6.88095,-1.56231,-0.0780153,-0.00464635,4.1,0,2.86837,0.00142744,0.00106914,6.88095,0.00175566,-0.0017741096333368264,-0.012207559681509036,0.002872240366663173,0.06580774031849096
0.42,1.70915,0.00176511,6.88408,-1.56775,-0.0780992,-0.006,4.1,0,3.00568,0.00157871,0.00113438,6.88408,0.00176511,-0.001757563214408894,-0.01209920577304798,0.0042424367855911065,0.06599999422695202
0.44,1.8,0.00185893,6.83858,-1.57023,-0.0731315,-0.00411744,4.1,0,3.14305,0.00173909,0.00120087,6.83858,0.00185893,-0.001625938057022039,-0.011119107477989776,0.002491501942977961,0.062012392522010226
0.46,1.8,0.00185893,6.83334,-1.567,-0.0647265,-0.00579731,4.1,0,3.2795,0.00190767,0.0012703,6.83334,0.00185893,-0.0016282200225060692,-0.011126181008591623,0.00416908997749393,0.05360031899140838
0.48,1.8,0.00185893,6.77966,-1.55728,-0.056257,-0.00596543,4.1,0,3.41586,0.00208555,0.0013388,6.77966,0.00185893,-0.0016516210145609378,-0.011197428927578208,0.0043138089854390625,0.0450595710724218
0.5,1.8,0.00185893,6.79084,-1.54456,-0.0501353,-0.00454463,4.1,0,3.55114,0.00227126,0.00140677,6.79084,0.00185893,-0.0016467533999733287,-0.01118283885867488,0.0028978766000266713,0.03895246114132512
0.52,1.78291,0.00184128,6.70671,-1.53399,-0.0476729,-0.00478721,4.1,0,3.68665,0.0024665,0.00147469,6.70671,0.00184128,-0.0017111777106916808,-0.011476372664073003,0.0030760322893083193,0.036196527335926994
