t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0.0,2.0,0.00205333,6.59409,0.930758,-0.0149897,0.0206081,0.0,0,0.0,0.0,0.0,6.59409,0.00205333,0.0038753029496364326,0.0255540964271681,-0.016732797050363568,0.0405437964271681
0.02,2.0,0.00205333,6.60212,0.9535,-0.0337821,0.0200593,0.0,0,0.132068,6.00101e-06,9.08777e-05,6.60212,0.00205333,0.003881357003253606,0.0256251846983207,-0.016177942996746394,0.0594072846983207
0.04,2.0,0.00205333,6.61649,0.97229,-0.0538197,0.0194044,0.0,0,0.264301,2.40341e-05,0.000181869,6.61649,0.00205333,0.003892184234767864,0.025752598067499223,-0.015512215765232134,0.07957229806749921
0.06,2.0,0.00205333,6.64168,0.985324,-0.0745887,0.0181948,0.0,0,0.396825,5.41787e-05,0.000273061,6.64168,0.00205333,0.003911156522143202,0.02597665004998806,-0.014283643477856798,0.10056535004998805
0.08,2.0,0.00205333,6.64689,0.992537,-0.0932468,0.0168674,0.0,0,0.529856,9.65931e-05,0.000364601,6.64689,0.00205333,0.003915086730549288,0.026023150838420755,-0.012952313269450713,0.11926995083842076
0.1,2.0,0.00205333,6.69918,0.994292,-0.105,0.0166,0.0,0,0.662992,0.000151233,0.000456214,6.69918,0.00205333,0.003954465448200234,0.026491675841274043,-0.012645534551799766,0.13149167584127402
0.12,2.0,0.00205333,6.67161,0.99135,-0.105597,0.0166,0.0,0,0.797175,0.000218644,0.000548547,6.67161,0.00205333,0.003933708692941353,0.02624417025291446,-0.012666291307058647,0.13184117025291445
0.14,2.0,0.00205333,6.69697,0.985357,-0.0939766,0.0164035,0.0,0,0.930805,0.00029809,0.0006405,6.69697,0.00205333,0.003952812352185418,0.02647186573821518,-0.012450687647814583,0.12044846573821517
0.16,1.9,0.00195066,6.70296,0.978494,-0.0720317,0.0153944,0.0,0,1.06494,0.000390144,0.000731647,6.70296,0.00195066,0.003704847949963028,0.02483344761468418,-0.011689552050036973,0.09686514761468418
0.18,1.9,0.00195066,6.72894,0.972706,-0.0430404,0.015,0.0,0,1.1992,0.00049421,0.000818255,6.72894,0.00195066,0.0037234370693879117,0.025054784633687092,-0.011276562930612088,0.06809518463368709
0.2,1.75042,0.00179709,6.73929,0.969044,-0.0113762,0.0152179,0.0,0,1.33397,0.000610348,0.000904622,6.73929,0.00179709,0.003351140141071055,0.02258430524131875,-0.011866759858928945,0.033960505241318745
0.22,1.61527,0.00165834,6.76684,0.967395,0.0169959,0.0159695,0.0,0,1.46895,0.000737791,0.000982606,6.76684,0.00165834,0.003024834314464408,0.020468569832490336,-0.012944665685535593,0.0034726698324903348
0.24,1.40237,0.00143977,6.77758,0.966756,0.0341138,0.0163835,0.0,0,1.60448,0.000875885,0.00105387,6.77758,0.00143977,0.002487873696353866,0.016861763006934035,-0.013895626303646134,-0.017252036993065965
0.26,1.10139,0.00113075,6.77502,0.965995,0.0315074,0.0164028,0.0,0,1.74022,0.00102312,0.00111336,6.77502,0.00113075,0.001718439608875004,0.011642462718920329,-0.014684360391124994,-0.01986493728107967
0.28,1.01355,0.00104057,6.80594,0.965243,0.00564005,0.0154813,0.0,0,1.87592,0.00117747,0.00116024,6.80594,0.00104057,0.0015060988783891112,0.010250418600383587,-0.01397520112161089,0.004610368600383588
0.3,1.0,0.00102666,6.82463,0.966484,-0.0361702,0.0157834,0.0,0,2.01223,0.00133881,0.00120658,6.82463,0.00102666,0.0014784013093991487,0.010089541928164712,-0.01430499869060085,0.04625974192816471
0.32,1.0,0.00102666,6.83845,0.971288,-0.0758435,0.0160123,0.0,0,2.14892,0.00150694,0.00125345,6.83845,0.00102666,0.001483601445869596,0.010145534307506938,-0.014528698554130404,0.08598903430750693
0.34,1.0,0.00102666,6.84704,0.978084,-0.0920971,0.0150161,0.0,0,2.28588,0.00168185,0.00130058,6.84704,0.00102666,0.0014868419519648648,0.010180466318781507,-0.013529258048035134,0.10227756631878152
0.36,1.0,0.00102666,6.87188,0.983594,-0.0715146,0.014211,0.0,0,2.42302,0.00186344,0.00134776,6.87188,0.00102666,0.001496191249955943,0.010281646726747244,-0.012714808750044057,0.08179624672674723
0.38,1.0,0.00102666,6.87479,0.9865,-0.0167667,0.0134579,0.0,0,2.56065,0.0020522,0.00139511,6.87479,0.00102666,0.0014972969631843961,0.010293602189530454,-0.011960603036815605,0.027060302189530455
0.4,1.0,0.00102666,6.89135,0.9875,0.053318,0.0124079,0.0,0,2.69834,0.00224756,0.00144249,6.89135,0.00102666,0.0015035261792932053,0.01036132513567223,-0.010904373820706794,-0.04295667486432777
0.42,1.0,0.00102666,6.89449,0.986555,0.111277,0.0133948,0.0,0,2.83637,0.00244993,0.00148997,6.89449,0.00102666,0.0015047194737674763,0.010374273364695128,-0.011890080526232524,-0.10090272663530488
0.44,1.0,0.00102666,6.92496,0.982667,0.131757,0.0134005,0.0,0,2.97445,0.00265896,0.00153748,6.92496,0.00102666,0.0015161926169696427,0.010499573224810096,-0.011884307383030356,-0.12125742677518991
0.46,1.0,0.00102666,6.94472,0.976725,0.101936,0.013,0.0,0,3.11315,0.00287551,0.0015852,6.94472,0.00102666,0.0015236370228641782,0.010581232505425316,-0.01147636297713582,-0.09135476749457469
0.48,1.0,0.00102666,6.96294,0.972459,0.027248,0.0135445,0.0,0,3.25224,0.00309932,0.00163306,6.96294,0.00102666,0.001530501203005169,0.01065678804645281,-0.012013998796994831,-0.01659121195354719
0.5,1.0,0.00102666,6.97777,0.973353,-0.0712772,0.0143998,0.0,0,3.39169,0.0033304,0.00168104,6.97777,0.00102666,0.0015360845074260702,0.010718444393382409,-0.01286371549257393,0.0819956443933824
0.52,1.0,0.00102666,7.00237,0.979663,-0.165035,0.0147936,0.0,0,3.53144,0.00356869,0.00172912,7.00237,0.00102666,0.0015453462241713305,0.0108210860397506,-0.01324825377582867,0.1758560860397506
0.54,1.0,0.00102666,7.01932,0.988606,-0.226545,0.0151969,0.0,0,3.67168,0.00381457,0.00177737,7.01932,0.00102666,0.0015517287074603215,0.010892080350850384,-0.013645171292539678,0.23743708035085037
0.56,1.0,0.00102666,7.03615,0.99613,-0.238682,0.0166031,0.0,0,3.81227,0.00406784,0.00182574,7.03615,0.00102666,0.0015580674001264042,0.010962795937399399,-0.015045032599873595,0.2496447959373994
0.58,1.0,0.00102666,7.04136,0.998748,-0.201743,0.0168,0.0,0,3.95319,0.00432854,0.00187423,7.04136,0.00102666,0.001560027030501583,0.010984711931492627,-0.015239972969498417,0.21272771193149265
0.6,1.0,0.00102666,7.05545,0.995166,-0.13204,0.0164027,0.0,0,4.09422,0.00459628,0.00192275,7.05545,0.00102666,0.0015653475911850308,0.011044231662226426,-0.014837352408814968,0.14308423166222642
0.62,1.0,0.00102666,7.06925,0.987064,-0.0526158,0.0161944,0.0,0,4.23553,0.00487141,0.00197137,7.06925,0.00102666,0.0015705367799997508,0.011102517132013238,-0.01462386322000025,0.06371831713201323
0.64,1.0,0.00102666,7.08594,0.978468,0.0158438,0.0160086,0.0,0,4.37711,0.00515397,0.00202008,7.08594,0.00102666,0.0015768207343871967,0.011173257114623613,-0.014431779265612805,-0.004670542885376388
0.66,1.0,0.00102666,7.11111,0.973808,0.0592539,0.0147876,0.0,0,4.51902,0.00544412,0.0020689,7.11111,0.00102666,0.001586301404247002,0.011280363778754899,-0.013201298595752997,-0.0479735362212451
0.68,1.0,0.00102666,7.11111,0.975196,0.07177,0.0138208,0.0,0,4.66144,0.00574225,0.0021179,7.11111,0.00102666,0.001586301404247002,0.011280363778754899,-0.012234498595752997,-0.060489636221245105
0.7,1.0,0.00102666,7.12502,0.98106,0.0568072,0.0142014,0.0,0,4.80385,0.00604737,0.0021669,7.12502,0.00102666,0.0015915453313403583,0.01133979231670668,-0.012609854668659642,-0.045467407683293326
0.72,1.0,0.00102666,7.14432,0.987911,0.0257278,0.0149975,0.0,0,4.94655,0.00636008,0.002216,7.14432,0.00102666,0.0015988145747432576,0.01142244294262975,-0.013398685425256743,-0.014305357057370249
0.74,0.900313,0.00092432,7.18605,0.993115,-0.00705171,0.015,0.0,0,5.08963,0.00668062,0.002264,7.18605,0.00092432,0.0013447085376578764,0.009663142787036382,-0.013655291462342123,0.016714852787036383
