t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0.0,1.2,0.00123929,7.46316,-1.3452,-0.0153395,-0.00596516,4.6,0,0.0,0.0,0.0,7.46316,0.00123929,-0.00015592139945768581,-0.0011636663515766225,0.005809238600542314,0.014175833648423378
0.02,1.2,0.00123929,7.4157,-1.3656,-0.0225609,-0.0050151,4.6,0,0.148994,3.71774e-06,4.99045e-05,7.4157,0.00123929,-0.0001697129108211748,-0.001258540032776586,0.004845387089178825,0.021302359967223412
0.04,1.2,0.00123929,7.39453,-1.38509,-0.0273492,-0.00628717,4.58848,0,0.297035,1.4776e-05,9.94897e-05,7.39453,0.00123929,-0.00017586271080773864,-0.0013004220909491476,0.006111307289192261,0.026048777909050854
0.06,1.2,0.00123929,7.34723,-1.40458,-0.0269953,-0.0052,4.5,0,0.444649,3.31111e-05,0.000148932,7.34723,0.00123929,-0.00018960217989213936,-0.001393050824168923,0.005010397820107861,0.025602249175831076
0.08,1.2,0.00123929,7.35357,-1.42901,-0.0184194,-0.00477871,4.5,0,0.591312,5.85564e-05,0.000198056,7.35357,0.00123929,-0.00018776331151097275,-0.0013807306546277439,0.004590946688489027,0.017038669345372254
0.1,1.2,0.00123929,7.28576,-1.46156,0.000375914,-0.00491618,4.38457,0,0.738098,9.12364e-05,0.00024722,7.28576,0.00123929,-0.00020746175603674114,-0.0015115165636622472,0.004708718243963259,-0.0018874305636622471
0.12,1.2,0.00123929,7.38341,-1.49532,0.0260933,-0.00761315,4.2,0,0.883521,0.00013073,0.000295929,7.38341,0.00123929,-0.00017908940423494327,-0.0013222904981223223,0.007434060595765056,-0.02741559049812232
0.14,1.2,0.00123929,7.1608,-1.51811,0.0495362,-0.00778571,4.1,0,1.03089,0.000177977,0.000345289,7.1608,0.00123929,-0.00024376206369285862,-0.001745531385691822,0.007541947936307141,-0.05128173138569182
0.16,1.2,0.00123929,7.25975,-1.52493,0.0634973,-0.00698222,4.1,0,1.1738,0.000230744,0.000393156,7.25975,0.00123929,-0.00021501673008396326,-0.0015609677062270524,0.006767203269916037,-0.06505826770622705
0.18,1.2,0.00123929,7.16835,-1.5209,0.0687236,-0.00807359,4.1,0,1.31869,0.000291224,0.000441686,7.16835,0.00123929,-0.00024156756468169394,-0.0017316408522860208,0.007832022435318307,-0.07045524085228602
