t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0.0,2.0,0.00205333,6.59409,0.930758,-0.0149897,0.0206081,0,0,0.0,0.0,0.0,6.59409,0.00205333,0.0077254377127363195,0.050942231567177435,-0.012882662287263681,0.06593193156717743
0.02,2.0,0.00205333,6.60212,0.9535,-0.0337821,0.0200593,0,0,0.132068,6.00101e-06,9.08777e-05,6.60212,0.00205333,0.007731489608337679,0.05104422217299836,-0.012327810391662319,0.08482632217299836
0.04,2.0,0.00205333,6.61649,0.97229,-0.0538197,0.0194044,0,0,0.264301,2.40341e-05,0.000181869,6.61649,0.00205333,0.007742312988442343,0.05122693646489888,-0.011662087011557656,0.10504663646489887
0.06,2.0,0.00205333,6.64168,0.985324,-0.0745887,0.0181948,0,0,0.396825,5.41787e-05,0.000273061,6.64168,0.00205333,0.00776127855072196,0.05154792852475903,-0.01043352144927804,0.12613662852475901
0.08,2.0,0.00205333,6.64689,0.992537,-0.0932468,0.0168674,0,0,0.529856,9.65931e-05,0.000364601,6.64689,0.00205333,0.007765207369012614,0.051614479209016254,-0.009102192630987386,0.14486127920901626
0.1,2.0,0.00205333,6.69918,0.994292,-0.105,0.0166,0,0,0.662992,0.000151233,0.000456214,6.69918,0.00205333,0.007804572234960151,0.052284234225000344,-0.008795427765039849,0.15728423422500035
0.12,2.0,0.00205333,6.67161,0.99135,-0.105597,0.0166,0,0,0.797175,0.000218644,0.000548547,6.67161,0.00205333,0.007783822764574328,0.051930629794361735,-0.008816177235425673,0.15752762979436175
0.14,2.0,0.00205333,6.69697,0.985357,-0.0939766,0.0164035,0,0,0.930805,0.00029809,0.0006405,6.69697,0.00205333,0.0078029197167033375,0.05225591925517075,-0.008600580283296664,0.14623251925517075
0.16,1.9,0.00195066,6.70296,0.978494,-0.0720317,0.0153944,0,0,1.06494,0.000390144,0.000731647,6.70296,0.00195066,0.007555068652841119,0.0506413229772479,-0.007839331347158883,0.12267302297724791
0.18,1.9,0.00195066,6.72894,0.972706,-0.0430404,0.015,0,0,1.1992,0.00049421,0.000818255,6.72894,0.00195066,0.007573651214085444,0.0509626446005081,-0.007426348785914556,0.0940030446005081
0.2,1.75042,0.00179709,6.73929,0.969044,-0.0113762,0.0152179,0,0,1.33397,0.000610348,0.000904622,6.73929,0.00179709,0.0072015251943277694,0.04853316672688119,-0.00801637480567223,0.059909366726881186
0.22,1.61527,0.00165834,6.76684,0.967395,0.0169959,0.0159695,0,0,1.46895,0.000737791,0.000982606,6.76684,0.00165834,0.0068753711722065155,0.046524536662933935,-0.009094128827793486,0.029528636662933934
0.24,1.40237,0.00143977,6.77758,0.966756,0.0341138,0.0163835,0,0,1.60448,0.000875885,0.00105387,6.77758,0.00143977,0.0063386599079732295,0.0429607746190812,-0.01004484009202677,0.008846974619081203
0.26,1.10139,0.00113075,6.77502,0.965995,0.0315074,0.0164028,0,0,1.74022,0.00102312,0.00111336,6.77502,0.00113075,0.005569586509744353,0.03773405999524818,-0.010833213490255646,0.006226659995248185
0.28,1.01355,0.00104057,6.80594,0.965243,0.00564005,0.0154813,0,0,1.87592,0.00117747,0.00116024,6.80594,0.00104057,0.0053573474304326315,0.03646178517067866,-0.010123952569567368,0.03082173517067866
0.3,1.0,0.00102666,6.82463,0.966484,-0.0361702,0.0157834,0,0,2.01223,0.00133881,0.00120658,6.82463,0.00102666,0.005329663681881637,0.03637298265327988,-0.010453736318118363,0.07254318265327989
0.32,1.0,0.00102666,6.83845,0.971288,-0.0758435,0.0160123,0,0,2.14892,0.00150694,0.00125345,6.83845,0.00102666,0.005334861870801154,0.03648218616038015,-0.010677438129198847,0.11232568616038015
0.34,1.0,0.00102666,6.84704,0.978084,-0.0920971,0.0150161,0,0,2.28588,0.00168185,0.00130058,6.84704,0.00102666,0.005338101164106835,0.03655019219468607,-0.009677998835893164,0.12864729219468607
0.36,1.0,0.00102666,6.87188,0.983594,-0.0715146,0.014211,0,0,2.42302,0.00186344,0.00134776,6.87188,0.00102666,0.005347446972352072,0.036747013900366755,-0.008863553027647929,0.10826161390036676
0.38,1.0,0.00102666,6.87479,0.9865,-0.0167667,0.0134579,0,0,2.56065,0.0020522,0.00139511,6.87479,0.00102666,0.005348552272519471,0.03677017367759413,-0.00810934772748053,0.05353687367759413
0.4,1.0,0.00102666,6.89135,0.9875,0.053318,0.0124079,0,0,2.69834,0.00224756,0.00144249,6.89135,0.00102666,0.005354779170656868,0.0369016574377062,-0.007053120829343132,-0.016416342562293795
0.42,1.0,0.00102666,6.89449,0.986555,0.111277,0.0133948,0,0,2.83637,0.00244993,0.00148997,6.89449,0.00102666,0.005355972020409954,0.03692669553499622,-0.008038827979590046,-0.07435030446500378
0.44,1.0,0.00102666,6.92496,0.982667,0.131757,0.0134005,0,0,2.97445,0.00265896,0.00153748,6.92496,0.00102666,0.005367440907352536,0.03716931358578002,-0.008033059092647463,-0.09458768641422
0.46,1.0,0.00102666,6.94472,0.976725,0.101936,0.013,0,0,3.11315,0.00287551,0.0015852,6.94472,0.00102666,0.005374882559868238,0.03732705441116815,-0.007625117440131762,-0.06460894558883185
0.48,1.0,0.00102666,6.96294,0.972459,0.027248,0.0135445,0,0,3.25224,0.00309932,0.00163306,6.96294,0.00102666,0.00538174420734479,0.03747276201108933,-0.00816275579265521,0.01022476201108933
0.5,1.0,0.00102666,6.97777,0.973353,-0.0712772,0.0143998,0,0,3.39169,0.0033304,0.00168104,6.97777,0.00102666,0.005387325456426017,0.037591517950085765,-0.009012474543573984,0.10886871795008576
0.52,1.0,0.00102666,7.00237,0.979663,-0.165035,0.0147936,0,0,3.53144,0.00356869,0.00172912,7.00237,0.00102666,0.0053965837723315155,0.03778887630986103,-0.009397016227668486,0.202823876309861
0.54,1.0,0.00102666,7.01932,0.988606,-0.226545,0.0151969,0,0,3.67168,0.00381457,0.00177737,7.01932,0.00102666,0.005402963918201017,0.03792513269030676,-0.009793936081798982,0.2644701326903068
0.56,1.0,0.00102666,7.03615,0.99613,-0.238682,0.0166031,0,0,3.81227,0.00406784,0.00182574,7.03615,0.00102666,0.005409300294430605,0.0380606482666579,-0.011193799705569395,0.2767426482666579
