t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0.0,1.2,0.00123929,7.46316,-1.3452,-0.0153395,-0.00596516,4.6,0,0.0,0.0,0.0,7.46316,0.00123929,-0.0013854262568478407,-0.010339657823056531,0.004579733743152159,0.004999842176943469
0.02,1.2,0.00123929,7.4157,-1.3656,-0.0225609,-0.0050151,4.6,0,0.148994,3.71774e-06,4.99045e-05,7.4157,0.00123929,-0.0013983577908898257,-0.01036980186990168,0.003616742209110174,0.012191098130098318
0.04,1.2,0.00123929,7.39453,-1.38509,-0.0273492,-0.00628717,4.58848,0,0.297035,1.4776e-05,9.94897e-05,7.39453,0.00123929,-0.0014041260288938043,-0.010382852044436102,0.0048830439711061956,0.0169663479555639
0.06,1.2,0.00123929,7.34723,-1.40458,-0.0269953,-0.0052,4.5,0,0.444649,3.31111e-05,0.000148932,7.34723,0.00123929,-0.0014170139673722261,-0.01041112753149624,0.0037829860326277736,0.016584172468503758
0.08,1.2,0.00123929,7.35357,-1.42901,-0.0184194,-0.00477871,4.5,0,0.591312,5.85564e-05,0.000198056,7.35357,0.00123929,-0.0014152864931660275,-0.010407408297550906,0.0033634235068339727,0.008011991702449093
0.1,1.2,0.00123929,7.28576,-1.46156,0.000375914,-0.00491618,4.38457,0,0.738098,9.12364e-05,0.00024722,7.28576,0.00123929,-0.0014337628379487285,-0.010446051934213328,0.0034824171620512715,-0.010821965934213328
0.12,1.2,0.00123929,7.38341,-1.49532,0.0260933,-0.00761315,4.2,0,0.883521,0.00013073,0.000295929,7.38341,0.00123929,-0.0014071559205614589,-0.01038960909543268,0.006205994079438541,-0.03648290909543268
0.14,1.2,0.00123929,7.1608,-1.51811,0.0495362,-0.00778571,4.1,0,1.03089,0.000177977,0.000345289,7.1608,0.00123929,-0.0014678109730917213,-0.010510700816115198,0.0063178990269082795,-0.060046900816115203
0.16,1.2,0.00123929,7.25975,-1.52493,0.0634973,-0.00698222,4.1,0,1.1738,0.000230744,0.000393156,7.25975,0.00123929,-0.0014408498417504989,-0.010460209638648185,0.005541370158249501,-0.0739575096386482
0.18,1.2,0.00123929,7.16835,-1.5209,0.0687236,-0.00807359,4.1,0,1.31869,0.000291224,0.000441686,7.16835,0.00123929,-0.0014657538074360748,-0.010507036305534387,0.0066078361925639255,-0.07923063630553438
0.2,1.2,0.00123929,7.15515,-1.51481,0.068551,-0.00609704,4.1,0,1.46175,0.000357841,0.000489604,7.15515,0.00123929,-0.0014693504414300528,-0.010513422810998242,0.004627689558569947,-0.07906442281099824
0.22,1.3,0.00134256,7.14136,-1.51264,0.061924,-0.00728809,4.1,0,1.60455,0.000431218,0.00053843,7.14136,0.00134256,-0.0012972223109504722,-0.009263931522529264,0.005990867689049528,-0.07118793152252927
0.24,1.3,0.00134256,7.10259,-1.51553,0.0452791,-0.00814157,4.1,0,1.74708,0.000511691,0.000591139,7.10259,0.00134256,-0.0013087409325298642,-0.009295450259977288,0.006832829067470137,-0.05457455025997729
0.26,1.3,0.00134256,7.09933,-1.52232,0.0199334,-0.00481478,4.1,0,1.88883,0.000599129,0.000642573,7.09933,0.00134256,-0.001309709483119207,-0.00929805982479268,0.0035050705168807933,-0.02923145982479268
0.28,1.4,0.00144583,7.06133,-1.53139,-0.0068519,-0.00572001,4.1,0,2.03051,0.000693859,0.000694971,7.06133,0.00144583,-0.0011470848832147028,-0.008099944898390478,0.004572925116785297,-0.0012480448983904777
0.3,1.5,0.00154911,7.01708,-1.53927,-0.0295549,-0.00596571,4.1,0,2.17143,0.000795767,0.000752003,7.01708,0.00154911,-0.0009884801103810514,-0.006936244012952669,0.0049772298896189485,0.02261865598704733
0.32,1.51406,0.00156363,7.01973,-1.54354,-0.0470891,-0.00437891,4.1,0,2.31146,0.00090523,0.000811746,7.01973,0.00156363,-0.0009632535351439472,-0.00676177973825602,0.0034156564648560525,0.04032732026174398
0.34,1.61416,0.00166701,6.98389,-1.54628,-0.0594085,-0.00502833,4.1,0,2.45155,0.00102314,0.000872062,6.98389,0.00166701,-0.0008036008724659105,-0.005612260097205947,0.004224729127534089,0.05379623990279406
0.36,1.7,0.00175566,6.95288,-1.55032,-0.067668,-0.00618464,4.1,0,2.59092,0.00114914,0.000936661,6.95288,0.00175566,-0.0006682131254542511,-0.004646005675708354,0.005516426874545749,0.06302199432429165
