t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0.0,2.0,0.00205333,6.59409,0.930758,-0.0149897,0.0206081,0,0,0.0,0.0,0.0,6.59409,0.00205333,0.005797182148985055,0.03822714083680086,-0.014810917851014946,0.05321684083680086
0.02,2.0,0.00205333,6.60212,0.9535,-0.0337821,0.0200593,0,0,0.132068,6.00101e-06,9.08777e-05,6.60212,0.00205333,0.005802227079753074,0.038306999447779363,-0.014257072920246925,0.07208909944777936
0.04,2.0,0.00205333,6.61649,0.97229,-0.0538197,0.0194044,0,0,0.264301,2.40341e-05,0.000181869,6.61649,0.00205333,0.0058112551812644605,0.03845011179428449,-0.01359314481873554,0.09226981179428448
0.06,2.0,0.00205333,6.64168,0.985324,-0.0745887,0.0181948,0,0,0.396825,5.41787e-05,0.000273061,6.64168,0.00205333,0.005827081059975095,0.03870160773441539,-0.012367718940024905,0.11329030773441538
0.08,2.0,0.00205333,6.64689,0.992537,-0.0932468,0.0168674,0,0,0.529856,9.65931e-05,0.000364601,6.64689,0.00205333,0.0058303542965007955,0.03875372366986817,-0.011037045703499206,0.13200052366986817
0.1,2.0,0.00205333,6.69918,0.994292,-0.105,0.0166,0,0,0.662992,0.000151233,0.000456214,6.69918,0.00205333,0.005863206031228032,0.039278672580282205,-0.010736793968771969,0.1442786725802822
0.12,2.0,0.00205333,6.67161,0.99135,-0.105597,0.0166,0,0,0.797175,0.000218644,0.000548547,6.67161,0.00205333,0.005845884892837711,0.039001464109905,-0.01075411510716229,0.144598464109905
0.14,2.0,0.00205333,6.69697,0.985357,-0.0939766,0.0164035,0,0,0.930805,0.00029809,0.0006405,6.69697,0.00205333,0.00586181757581118,0.0392564164506802,-0.010541682424188821,0.1332330164506802
0.16,1.9,0.00195066,6.70296,0.978494,-0.0720317,0.0153944,0,0,1.06494,0.000390144,0.000731647,6.70296,0.00195066,0.005616181795422917,0.037645041927448,-0.009778218204577083,0.109676741927448
0.18,1.9,0.00195066,6.72894,0.972706,-0.0430404,0.015,0,0,1.1992,0.00049421,0.000818255,6.72894,0.00195066,0.005631537354108006,0.03789427696355152,-0.009368462645891994,0.08093467696355153
0.2,1.75042,0.00179709,6.73929,0.969044,-0.0113762,0.0152179,0,0,1.33397,0.000610348,0.000904622,6.73929,0.00179709,0.005262590951311147,0.0354661265722617,-0.009955309048688852,0.0468423265722617
