t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0.0,1.2,0.00123929,7.46316,-1.3452,-0.0153395,-0.00596516,4.6,0,0.0,0.0,0.0,7.46316,0.00123929,-0.0009698378407214562,-0.007238054979358743,0.0049953221592785434,0.008101445020641258
0.02,1.2,0.00123929,7.4157,-1.3656,-0.0225609,-0.0050151,4.6,0,0.148994,3.71774e-06,4.99045e-05,7.4157,0.00123929,-0.0009737129731783127,-0.007220763295198414,0.004041387026821687,0.015340136704801584
0.04,1.2,0.00123929,7.39453,-1.38509,-0.0273492,-0.00628717,4.58848,0,0.297035,1.4776e-05,9.94897e-05,7.39453,0.00123929,-0.0009782175947853976,-0.007233459351168465,0.005308952405214602,0.020115740648831537
0.06,1.2,0.00123929,7.34723,-1.40458,-0.0269953,-0.0052,4.5,0,0.444649,3.31111e-05,0.000148932,7.34723,0.00123929,-0.000985305806524671,-0.007239268380872258,0.004214694193475329,0.019756031619127742
0.08,1.2,0.00123929,7.35357,-1.42901,-0.0184194,-0.00477871,4.5,0,0.591312,5.85564e-05,0.000198056,7.35357,0.00123929,-0.0009898680478442562,-0.007279063980586088,0.0037888419521557443,0.011140336019413912
0.1,1.2,0.00123929,7.28576,-1.46156,0.000375914,-0.00491618,4.38457,0,0.738098,9.12364e-05,0.00024722,7.28576,0.00123929,-0.0009986718955958312,-0.007276083750056284,0.003917508104404169,-0.007651997750056283
0.12,1.2,0.00123929,7.38341,-1.49532,0.0260933,-0.00761315,4.2,0,0.883521,0.00013073,0.000295929,7.38341,0.00123929,-0.0009970080789392225,-0.007361319420120645,0.006616141921060777,-0.033454619420120645
0.14,1.2,0.00123929,7.1608,-1.51811,0.0495362,-0.00778571,4.1,0,1.03089,0.000177977,0.000345289,7.1608,0.00123929,-0.0010139875925231179,-0.007260962352539543,0.006771722407476883,-0.056797162352539544
0.16,1.2,0.00123929,7.25975,-1.52493,0.0634973,-0.00698222,4.1,0,1.1738,0.000230744,0.000393156,7.25975,0.00123929,-0.0010180770972405043,-0.0073909852066917515,0.005964142902759496,-0.07088828520669176
0.18,1.2,0.00123929,7.16835,-1.5209,0.0687236,-0.00807359,4.1,0,1.31869,0.000291224,0.000441686,7.16835,0.00123929,-0.0010284675946922556,-0.007372415682412231,0.007045122405307745,-0.07609601568241223
0.2,1.2,0.00123929,7.15515,-1.51481,0.068551,-0.00609704,4.1,0,1.46175,0.000357841,0.000489604,7.15515,0.00123929,-0.001036992386718299,-0.007419836075827436,0.005060047613281701,-0.07597083607582744
0.22,1.3,0.00134256,7.14136,-1.51264,0.061924,-0.00728809,4.1,0,1.60455,0.000431218,0.00053843,7.14136,0.00134256,-0.0009956436990708317,-0.007110250086796474,0.006292446300929168,-0.06903425008679648
0.24,1.3,0.00134256,7.10259,-1.51553,0.0452791,-0.00814157,4.1,0,1.74708,0.000511691,0.000591139,7.10259,0.00134256,-0.0009694451963660701,-0.006885571757257686,0.0071721248036339304,-0.05216467175725769
0.26,1.3,0.00134256,7.09933,-1.52232,0.0199334,-0.00481478,4.1,0,1.88883,0.000599129,0.000642573,7.09933,0.00134256,-0.0009509607373344401,-0.00675118409138051,0.0038638192626655604,-0.02668458409138051
0.28,1.4,0.00144583,7.06133,-1.53139,-0.0068519,-0.00572001,4.1,0,2.03051,0.000693859,0.000694971,7.06133,0.00144583,-0.00089304234686531,-0.00630606671519042,0.00482696765313469,0.0005458332848095803
0.3,1.5,0.00154911,7.01708,-1.53927,-0.0295549,-0.00596571,4.1,0,2.17143,0.000795767,0.000752003,7.01708,0.00154911,-0.0008080211007983507,-0.00566994870599009,0.0051576888992016495,0.023884951294009908
0.32,1.51406,0.00156363,7.01973,-1.54354,-0.0470891,-0.00437891,4.1,0,2.31146,0.00090523,0.000811746,7.01973,0.00156363,-0.0007401157287441362,-0.005195412584537075,0.0036387942712558636,0.04189368741546293
0.34,1.61416,0.00166701,6.98389,-1.54628,-0.0594085,-0.00502833,4.1,0,2.45155,0.00102314,0.000872062,6.98389,0.00166701,-0.0006475924166614695,-0.00452271420279787,0.00438073758333853,0.05488578579720213
0.36,1.7,0.00175566,6.95288,-1.55032,-0.067668,-0.00618464,4.1,0,2.59092,0.00114914,0.000936661,6.95288,0.00175566,-0.0005441026065811003,-0.003783080131245601,0.005640537393418899,0.0638849198687544
0.38,1.7,0.00175566,6.95081,-1.55601,-0.0738971,-0.0054548,4.1,0,2.72967,0.00128371,0.00100333,6.95081,0.00175566,-0.0004701877619751759,-0.0032681857978146722,0.004984612238024824,0.07062891420218533
0.4,1.7,0.00175566,6.88095,-1.56231,-0.0780153,-0.00464635,4.1,0,2.86837,0.00142744,0.00106914,6.88095,0.00175566,-0.0004253047470928468,-0.0029265006995085243,0.004221045252907153,0.07508879930049148
0.42,1.70915,0.00176511,6.88408,-1.56775,-0.0780992,-0.006,4.1,0,3.00568,0.00157871,0.00113438,6.88408,0.00176511,-0.0003884969398587054,-0.002674444013742517,0.005611503060141295,0.07542475598625747
0.44,1.8,0.00185893,6.83858,-1.57023,-0.0731315,-0.00411744,4.1,0,3.14305,0.00173909,0.00120087,6.83858,0.00185893,-0.0003251508177971542,-0.0022235698795712625,0.0037922891822028456,0.07090793012042874
0.46,1.8,0.00185893,6.83334,-1.567,-0.0647265,-0.00579731,4.1,0,3.2795,0.00190767,0.0012703,6.83334,0.00185893,-0.00028040231896565084,-0.0019160843822807405,0.005516907681034349,0.06281041561771926
0.48,1.8,0.00185893,6.77966,-1.55728,-0.056257,-0.00596543,4.1,0,3.41586,0.00208555,0.0013388,6.77966,0.00185893,-0.0002549117204870134,-0.0017282147949169852,0.005710518279512987,0.054528785205083016
0.5,1.8,0.00185893,6.79084,-1.54456,-0.0501353,-0.00454463,4.1,0,3.55114,0.00227126,0.00140677,6.79084,0.00185893,-0.00023527964483589537,-0.0015977464233373918,0.004309350355164105,0.04853755357666261
0.52,1.78291,0.00184128,6.70671,-1.53399,-0.0476729,-0.00478721,4.1,0,3.68665,0.0024665,0.00147469,6.70671,0.00184128,-0.00023930878535676815,-0.0016049746238400906,0.004547901214643232,0.046067925376159904
0.54,1.7,0.00175566,6.71415,-1.52939,-0.0497691,-0.00573294,4.1,0,3.82047,0.00266827,0.00154035,6.71415,0.00175566,-0.00027916309201895064,-0.0018743428742790374,0.005453776907981049,0.04789475712572096
0.56,1.7,0.00175566,6.65932,-1.53251,-0.0548224,-0.0052,4.1,0,3.95445,0.00287886,0.00160315,6.65932,0.00175566,-0.00031406151956760164,-0.002091436158486921,0.004885938480432398,0.05273096384151308
0.58,1.7,0.00175566,6.71499,-1.54233,-0.0596537,-0.00685107,4.1,0,4.08733,0.00309608,0.0016662,6.71499,0.00175566,-0.0003326282790230357,-0.0022335955673568946,0.006518441720976965,0.0574201044326431
0.6,1.69734,0.00175291,6.58029,-1.55698,-0.0627621,-0.00775218,4.1,0,4.22132,0.00332359,0.00172976,6.58029,0.00175291,-0.0003626998122528796,-0.0023866699475695013,0.00738948018774712,0.0603754300524305
0.62,1.6,0.00165238,6.55684,-1.57461,-0.06284,-0.00555544,4.1,0,4.35261,0.00355474,0.00179104,6.55684,0.00165238,-0.00043037326955673653,-0.0028218886687603924,0.005125066730443263,0.060018111331239604
0.64,1.6,0.00165238,6.51383,-1.59166,-0.0575525,-0.00658201,4.1,0,4.48344,0.00379283,0.00184858,6.51383,0.00165238,-0.00048354526303087393,-0.0031497316406883975,0.006098464736969126,0.0544027683593116
0.66,1.58905,0.00164107,6.46141,-1.6048,-0.0463144,-0.00683304,4.1,0,4.61339,0.00403684,0.00190652,6.46141,0.00164107,-0.0005321611370191685,-0.003438511292347026,0.006300878862980832,0.04287588870765297
0.68,1.5,0.00154911,6.46582,-1.61446,-0.030471,-0.00592251,4.1,0,4.7423,0.00428625,0.0019628,6.46582,0.00154911,-0.0006056887649258691,-0.003916274530032983,0.0053168212350741305,0.026554725469967018
0.7,1.5,0.00154911,6.44523,-1.62383,-0.0107391,-0.00552302,4.1,0,4.87129,0.00454289,0.002016,6.44523,0.00154911,-0.0006604744704867048,-0.004256909871415024,0.004862545529513295,0.006482190128584976
0.72,1.5,0.00154911,6.37697,-1.63449,0.0122946,-0.00622244,4.41964,0,4.99987,0.00480556,0.00206984,6.37697,0.00154911,-0.0007066956335543639,-0.004506576854307172,0.005515744366445636,-0.01680117685430717
0.74,1.5,0.00154911,6.39282,-1.64342,0.0353875,-0.00697796,4.6,0,5.12709,0.00507226,0.0021231,6.39282,0.00154911,-0.0007381986869846762,-0.004719171330129378,0.006239761313015324,-0.04010667133012938
