t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0.0,2.0,0.00205333,6.59409,0.930758,-0.0149897,0.0206081,0.0,0,0.0,0.0,0.0,6.59409,0.00205333,0.004605961393593162,0.030372123965878732,-0.01600213860640684,0.045361823965878734
0.02,2.0,0.00205333,6.60212,0.9535,-0.0337821,0.0200593,0.0,0,0.132068,6.00101e-06,9.08777e-05,6.60212,0.00205333,0.0046072685265488925,0.030417739684498974,-0.015452031473451106,0.06419983968449898
0.04,2.0,0.00205333,6.61649,0.97229,-0.0538197,0.0194044,0.0,0,0.264301,2.40341e-05,0.000181869,6.61649,0.00205333,0.0046106242342793665,0.030506149139867086,-0.014793775765720631,0.08432584913986708
0.06,2.0,0.00205333,6.64168,0.985324,-0.0745887,0.0181948,0.0,0,0.396825,5.41787e-05,0.000273061,6.64168,0.00205333,0.004617333975672214,0.030666854719542634,-0.013577466024327786,0.10525555471954262
0.08,2.0,0.00205333,6.64689,0.992537,-0.0932468,0.0168674,0.0,0,0.529856,9.65931e-05,0.000364601,6.64689,0.00205333,0.004623408100273817,0.03073128506762903,-0.012243991899726185,0.12397808506762903
0.1,2.0,0.00205333,6.69918,0.994292,-0.105,0.0166,0.0,0,0.662992,0.000151233,0.000456214,6.69918,0.00205333,0.004636640906763261,0.031061692029770303,-0.01196335909323674,0.1360616920297703
0.12,2.0,0.00205333,6.67161,0.99135,-0.105597,0.0166,0.0,0,0.797175,0.000218644,0.000548547,6.67161,0.00205333,0.00464246502811411,0.03097271610621638,-0.01195753497188589,0.13656971610621638
0.14,2.0,0.00205333,6.69697,0.985357,-0.0939766,0.0164035,0.0,0,0.930805,0.00029809,0.0006405,6.69697,0.00205333,0.004651125536516218,0.031148448184283015,-0.011752374463483784,0.125125048184283
0.16,1.9,0.00195066,6.70296,0.978494,-0.0720317,0.0153944,0.0,0,1.06494,0.000390144,0.000731647,6.70296,0.00195066,0.004604332261441754,0.030862654975153617,-0.010790067738558246,0.10289435497515362
0.18,1.9,0.00195066,6.72894,0.972706,-0.0430404,0.015,0.0,0,1.1992,0.00049421,0.000818255,6.72894,0.00195066,0.0045719032058219745,0.030764062357783714,-0.010428096794178025,0.0738044623577837
