platform,regime_col,bin,n,rmse_yr_degs,bias_yr_degs
FORD_MUSTANG_MACH_E_MK1,v_mps,"(-0.001, 5.0]",845,0.26776270584378076,0.11107924900506762
FORD_MUSTANG_MACH_E_MK1,v_mps,"(5.0, 15.0]",3682,0.6139562257481036,0.511789587840826
FORD_MUSTANG_MACH_E_MK1,v_mps,"(15.0, 25.0]",1269,0.15670687150529833,-0.11599114955946392
FORD_MUSTANG_MACH_E_MK1,abs_delta_deg,"(-0.001, 5.0]",5773,0.5060257755457652,0.3180847111949595
FORD_MUSTANG_MACH_E_MK1,abs_delta_deg,"(5.0, 30.0]",23,0.24686511660507263,-0.2271555947938207
FORD_MUSTANG_MACH_E_MK1,abs_a_y,"(-0.001, 0.5]",5796,0.5052601320052809,0.3159210591870675
FORD_F_150_LIGHTNING_MK1,v_mps,"(-0.001, 5.0]",1438,0.5298997046835003,-0.4576033977414366
FORD_F_150_LIGHTNING_MK1,v_mps,"(5.0, 15.0]",617,1.1218456195478284,-0.8467432542114142
FORD_F_150_LIGHTNING_MK1,v_mps,"(15.0, 25.0]",843,0.7393851965402217,-0.6327851730293906
FORD_F_150_LIGHTNING_MK1,v_mps,"(25.0, 40.0]",2898,1.3687657647579388,-1.155003188570846
FORD_F_150_LIGHTNING_MK1,abs_delta_deg,"(-0.001, 5.0]",4994,1.052077030756088,-0.8697090728287244
FORD_F_150_LIGHTNING_MK1,abs_delta_deg,"(5.0, 30.0]",460,1.2425188369279263,-0.5594692064010119
FORD_F_150_LIGHTNING_MK1,abs_delta_deg,"(30.0, 90.0]",59,0.9610632390407462,-0.8853801954396561
FORD_F_150_LIGHTNING_MK1,abs_delta_deg,"(90.0, 540.0]",283,1.658325954942342,-1.4423711624051652
FORD_F_150_LIGHTNING_MK1,abs_a_y,"(-0.001, 0.5]",4562,1.0718999704628802,-0.8839830506442269
FORD_F_150_LIGHTNING_MK1,abs_a_y,"(0.5, 2.0]",1101,1.0470741569667974,-0.6798924234098683
FORD_F_150_LIGHTNING_MK1,abs_a_y,"(2.0, 5.0]",133,2.162432295767163,-2.1039036084923906
