scope,regime,bucket,n,rmse_yaw_degs,mean_yaw_degs
FORD_MUSTANG_MACH_E_MK1,speed_mps,0-5,845,0.26776260981817424,0.11107921314923316
FORD_MUSTANG_MACH_E_MK1,speed_mps,5-15,3682,0.6139561850127283,0.5117895515639767
FORD_MUSTANG_MACH_E_MK1,speed_mps,15-25,1269,0.15670690354664912,-0.11599118221358837
FORD_MUSTANG_MACH_E_MK1,abs_delta_deg,0-1,5796,0.5052600953171374,0.3159210237647723
FORD_MUSTANG_MACH_E_MK1,abs_ay_mps2,0-1,5796,0.5052600953171374,0.3159210237647723
FORD_F_150_LIGHTNING_MK1,speed_mps,0-5,1438,0.5298996030264398,-0.45760338981645016
FORD_F_150_LIGHTNING_MK1,speed_mps,5-15,617,1.121845160551128,-0.8467430534431024
FORD_F_150_LIGHTNING_MK1,speed_mps,15-25,843,0.7393852225677625,-0.6327851811800721
FORD_F_150_LIGHTNING_MK1,speed_mps,25-50,2898,1.3687658027774625,-1.1550032107418218
FORD_F_150_LIGHTNING_MK1,abs_delta_deg,0-1,5421,1.0700770190924653,-0.843299283602262
FORD_F_150_LIGHTNING_MK1,abs_delta_deg,1-3,61,0.9167526099797724,-0.8471882451634474
FORD_F_150_LIGHTNING_MK1,abs_delta_deg,3-6,60,1.5744839433154711,-1.4237254072036103
FORD_F_150_LIGHTNING_MK1,abs_delta_deg,6-90,254,1.6158854893712773,-1.3877319968503945
FORD_F_150_LIGHTNING_MK1,abs_ay_mps2,0-1,5485,1.0537284645302716,-0.8544693506876347
FORD_F_150_LIGHTNING_MK1,abs_ay_mps2,1-2,178,1.419093257266439,-0.5310558239861296
FORD_F_150_LIGHTNING_MK1,abs_ay_mps2,2-4,133,2.162431706896465,-2.103902449652941
