t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0.0,-0.7,-0.000722917,26.6423,0.0182717,-0.400273,-0.023,29.2,0,0.0,0.0,0.0,26.6423,-0.000722917,-0.00511847379858579,-0.13636791448406219,-0.01788152620141421,-0.26390508551593783
0.02,-0.7,-0.000722917,26.6332,0.0104652,-0.339964,-0.0224,29.2,0,0.53285,-2.77375e-05,-0.00010411,26.6332,-0.000722917,-0.005116783917218784,-0.1362763294240713,-0.017283216082781216,-0.20368767057592868
0.04,-0.7,-0.000722917,26.6842,0.00284254,-0.289139,-0.0225714,29.2,0,1.06552,-0.000110912,-0.000208184,26.6842,-0.000722917,-0.005126253925429816,-0.1367899849969543,-0.01744514607457018,-0.15234901500304568
0.06,-0.8,-0.000826191,26.6864,-0.000892278,-0.252944,-0.0227889,29.2,0,1.5992,-0.000250503,-0.000316181,26.6864,-0.000826191,-0.00585904406175439,-0.15635679344960235,-0.01692985593824561,-0.09658720655039765
0.08,-0.8,-0.000826191,26.7083,0.00330206,-0.229267,-0.0216002,29.2,0,2.13293,-0.000451725,-0.000439084,26.7083,-0.000826191,-0.005863690844497212,-0.1566092141820849,-0.015736509155502787,-0.0726577858179151
0.1,-0.8,-0.000826191,26.6839,0.0158767,-0.213708,-0.0216819,29.2,0,2.6671,-0.000718126,-0.000558361,26.6839,-0.000826191,-0.005858513582423568,-0.15632799058203226,-0.015823386417576434,-0.05738000941796775
0.12,-0.8,-0.000826191,26.6398,0.0342734,-0.206968,-0.0217832,29.2,0,3.20078,-0.00104791,-0.000677529,26.6398,-0.000826191,-0.00584915509620865,-0.1558203219319792,-0.01593404490379135,-0.05114767806802081
0.14,-0.8,-0.000826191,26.7025,0.055877,-0.211277,-0.0217086,29.2,0,3.73358,-0.00144059,-0.000796501,26.7025,-0.000826191,-0.005862460227495014,-0.1565423442246856,-0.015846139772504986,-0.05473465577531439
0.16,-0.9,-0.000929465,26.7053,0.0792033,-0.223068,-0.021434,29.2,0,4.26764,-0.00189848,-0.000919481,26.7053,-0.000929465,-0.006595937397799757,-0.17614648698946186,-0.014838062602200244,-0.046921513010538124
0.18,-0.9,-0.000929465,26.6861,0.102121,-0.235216,-0.0213884,29.2,0,4.80176,-0.00242609,-0.00105738,26.6861,-0.000929465,-0.0065913542398765195,-0.1758975383807688,-0.01479704576012348,-0.05931846161923121
0.2,-0.9,-0.000929465,26.6864,0.120576,-0.245034,-0.0205011,29.2,0,5.3355,-0.00302625,-0.00119146,26.6864,-0.000929465,-0.006591425854299807,-0.17590142691818636,-0.013909674145700195,-0.06913257308181364
0.22,-0.902365,-0.000931908,26.6365,0.131592,-0.255564,-0.0221764,29.2,0,5.86926,-0.00369799,-0.00132563,26.6365,-0.000931908,-0.006596806423396826,-0.17571583429680956,-0.015579593576603174,-0.07984816570319045
0.24,-1.0,-0.00103274,26.6695,0.135746,-0.267962,-0.0203387,29.2,0,6.40201,-0.00444063,-0.00146353,26.6695,-0.00103274,-0.007319332199719765,-0.19520293010042625,-0.013019367800280237,-0.07275906989957373
0.26,-1.0,-0.00103274,26.6753,0.13577,-0.278906,-0.021363,29.2,0,6.93543,-0.00526166,-0.00161606,26.6753,-0.00103274,-0.007320870666600931,-0.19528642129277982,-0.01404212933339907,-0.08361957870722017
0.28,-1.0,-0.00103274,26.686,0.13587,-0.286704,-0.0206034,29.2,0,7.46896,-0.00616361,-0.00176498,26.686,-0.00103274,-0.007323708783503658,-0.1954404925965786,-0.013279691216496343,-0.0912635074034214
0.3,-1.0,-0.00103274,26.6938,0.13889,-0.293051,-0.0182992,29.2,0,8.00271,-0.00714542,-0.00191395,26.6938,-0.00103274,-0.007325777618193887,-0.19555284258454397,-0.010973422381806115,-0.09749815741545603
0.32,-1.0,-0.00103274,26.6707,0.141992,-0.299614,-0.0211555,29.2,0,8.53661,-0.00820707,-0.00206298,26.6707,-0.00103274,-0.007319650506002122,-0.19522020275043078,-0.013835849493997878,-0.10439379724956921
0.34,-1.0,-0.00103274,26.7062,0.141678,-0.306332,-0.0193382,29.2,0,9.07005,-0.00934726,-0.00221187,26.7062,-0.00103274,-0.007329066408194122,-0.19573151331051386,-0.012009133591805877,-0.11060048668948613
0.36,-1.1,-0.00113601,26.6535,0.140619,-0.31171,-0.0216931,29.2,0,9.6042,-0.0105692,-0.00236469,26.6535,-0.00113601,-0.008046569042582401,-0.21446922797647003,-0.013646530957417599,-0.09724077202352996
0.38,-1.10368,-0.00113981,26.5926,0.142382,-0.313914,-0.0222074,29.2,0,10.1373,-0.0118741,-0.00253222,26.5926,-0.00113981,-0.008055653149270028,-0.21422076193727815,-0.01415174685072997,-0.09969323806272187
0.4,-1.20149,-0.00124083,26.6363,0.144394,-0.311663,-0.021594,29.2,0,10.6692,-0.0132652,-0.00269984,26.6363,-0.00124083,-0.008783547021649005,-0.23396119353274938,-0.012810452978350994,-0.07770180646725064
0.42,-1.3,-0.00134256,26.6611,0.141774,-0.305743,-0.022595,29.2,0,11.2019,-0.0147525,-0.0028858,26.6611,-0.00134256,-0.009512223382619894,-0.2536063388263673,-0.013082776617380106,-0.05213666117363269
0.44,-1.3,-0.00134256,26.6611,0.133682,-0.299397,-0.0222269,29.2,0,11.7352,-0.0163436,-0.00308296,26.6611,-0.00134256,-0.009512223382619894,-0.2536063388263673,-0.012714676617380107,-0.04579066117363273
