t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0.0,4.8,0.00495715,0.891636,-0.364206,-0.119133,-0.00382806,8.3,0,0.0,0.0,0.0,0.891636,0.00495715,0.0011945744535732828,0.0010651255874862676,-0.005022634453573283,-0.12019812558748627
0.02,4.8,0.00495715,0.891374,-0.357317,-0.1144,-0.00377729,8.3,0,0.0177599,2.11292e-07,2.37943e-05,0.891374,0.00495715,0.0011942234509236236,0.0010644997343435942,-0.004971513450923623,-0.1154644997343436
0.04,4.7,0.00485387,0.885738,-0.349986,-0.113973,-0.00352849,8.3,0,0.0355159,8.44253e-07,4.74598e-05,0.885738,0.00485387,0.0011619486817402783,0.0010291821014672706,-0.004690438681740279,-0.11500218210146727
0.06,4.7,0.00485387,0.877574,-0.340227,-0.11918,-0.00288564,8.3,0,0.0531606,1.88516e-06,7.04844e-05,0.877574,0.00485387,0.001151239196972672,0.0010102975870440957,-0.004036879196972672,-0.1201902975870441
0.08,4.6,0.0047506,0.874632,-0.32491,-0.128182,-0.00375982,8.3,0,0.0706441,3.31726e-06,9.32985e-05,0.874632,0.0047506,0.0011229680926343375,0.0009821838287969557,-0.004882788092634338,-0.12916418382879694
0.1,4.6,0.0047506,0.869397,-0.301753,-0.137575,-0.0042,7.8983,0,0.0880717,5.13751e-06,0.000115553,0.869397,0.0047506,0.0011162469521169619,0.0009704617514296303,-0.005316246952116962,-0.13854546175142962
0.12,4.6,0.0047506,0.86644,-0.271478,-0.144193,-0.00366632,7.75026,0,0.105399,7.33253e-06,0.000137801,0.86644,0.0047506,0.0011124505007922662,0.0009638716119064511,-0.004778770500792266,-0.14515687161190644
0.14,4.59377,0.00474416,0.863889,-0.238537,-0.14635,-0.0043122,7.3813,0,0.122674,9.9045e-06,0.000159973,0.863889,0.00474416,0.0011076716652681773,0.0009569053672368605,-0.005419871665268178,-0.14730690536723687
0.16,4.5,0.00464733,0.864007,-0.208496,-0.143879,-0.0059125,6.9825,0,0.139904,1.28505e-05,0.000181946,0.864007,0.00464733,0.0010852115673231947,0.0009376303906482114,-0.006997711567323195,-0.1448166303906482
0.18,4.39045,0.00453419,0.866032,-0.184257,-0.13698,-0.0072,6.6,0,0.157142,1.61722e-05,0.000203354,0.866032,0.00453419,0.001061272983268004,0.000919096364245556,-0.008261272983268004,-0.13789909636424555
0.2,4.29125,0.00443175,0.852437,-0.165552,-0.125483,-0.00785248,6.38251,0,0.174426,1.98685e-05,0.000224283,0.852437,0.00443175,0.0010210126186263207,0.000870348933583965,-0.00887349261862632,-0.12635334893358396
0.22,4.18885,0.00432599,0.843868,-0.150605,-0.109279,-0.00846691,6.0777,0,0.191442,2.38569e-05,0.000244425,0.843868,0.00432599,0.0009866283964856321,0.0008325841316855374,-0.009453538396485632,-0.11011158413168554
0.24,4.1,0.00423423,0.832982,-0.137307,-0.0891601,-0.009267,5.79163,0,0.208289,2.81394e-05,0.000263898,0.832982,0.00423423,0.0009532432066731856,0.0007940344327810435,-0.010220243206673184,-0.08995413443278105
0.26,4.0865,0.00422029,0.825,-0.124521,-0.0675988,-0.00989203,5.6,0,0.224921,3.26862e-05,0.000282813,0.825,0.00422029,0.0009410008618544847,0.0007763257110299498,-0.010833030861854484,-0.06837512571102995
0.28,3.99113,0.00412179,0.825,-0.11367,-0.0481116,-0.00918225,5.6,0,0.241396,3.74997e-05,0.000301479,0.825,0.00412179,0.0009190379997655663,0.0007582063498065921,-0.010101287999765566,-0.04886980634980659
0.3,3.80341,0.00392793,0.825,-0.108434,-0.0330193,-0.0115115,5.6,0,0.257874,4.26167e-05,0.00031951,0.825,0.00392793,0.0008758124631833409,0.0007225452821262562,-0.01238731246318334,-0.03374184528212626
0.32,3.7,0.00382114,0.830305,-0.111731,-0.0225903,-0.00856325,5.6,0,0.274352,4.8024e-05,0.000336669,0.830305,0.00382114,0.0008574796556048874,0.000711969645447016,-0.009420729655604887,-0.023302269645447016
0.34,3.6,0.00371786,0.82788,-0.123484,-0.0161964,-0.00915975,5.6,0,0.290936,5.37479e-05,0.00035356,0.82788,0.00371786,0.0008318663824722823,0.000688685540721153,-0.009991616382472281,-0.016885085540721153
0.36,3.48651,0.00360066,0.830556,-0.141686,-0.0130436,-0.0064,5.6,0,0.307469,5.97293e-05,0.000369927,0.830556,0.00360066,0.0008082468388756347,0.0006712942615091917,-0.007208246838875635,-0.013714894261509193
0.38,3.4,0.00351131,0.830556,-0.163958,-0.0122198,-0.00584921,5.6,0,0.324051,6.59962e-05,0.000385833,0.830556,0.00351131,0.0007881901114428584,0.0006546360261995347,-0.006637400111442858,-0.012874436026199533
0.4,3.3017,0.00340979,0.830556,-0.186903,-0.0129522,-0.00678983,5.6,0,0.34063,7.25219e-05,0.000401352,0.830556,0.00340979,0.0007654015540180619,0.0006357088530990254,-0.007555231554018062,-0.013587908853099026
0.42,3.28801,0.00339566,0.827623,-0.205631,-0.0148215,-0.00411164,5.6,0,0.357203,7.92997e-05,0.000416497,0.827623,0.00339566,0.0007595381173327554,0.000628611215281287,-0.004871178117332755,-0.015450111215281287
0.44,3.18888,0.00329328,0.824676,-0.216184,-0.0176915,-0.00471107,5.6,0,0.373715,8.6301e-05,0.00043152,0.824676,0.00329328,0.0007340147506687195,0.0006053243485224769,-0.00544508475066872,-0.018296824348522474
0.46,3.09382,0.00319511,0.819528,-0.217796,-0.0218337,-0.0038,5.6,0,0.390165,9.35188e-05,0.00044594,0.819528,0.00319511,0.000707688896399659,0.0005799708658886198,-0.004507688896399659,-0.02241367086588862
0.48,2.87057,0.00296455,0.821813,-0.211851,-0.0285643,-0.00502943,5.6,0,0.406512,0.000100922,0.000459693,0.821813,0.00296455,0.0006584522905206397,0.0005411246522296385,-0.00568788229052064,-0.02910542465222964
0.5,2.6,0.00268512,0.816521,-0.200698,-0.0401118,-0.0041893,5.6,0,0.422906,0.000108563,0.000472264,0.816521,0.00268512,0.0005925478764721941,0.0004838277846449524,-0.004781847876472194,-0.040595627784644955
0.52,2.5,0.00258185,0.810881,-0.187972,-0.0578332,-0.004,5.6,0,0.439196,0.00011635,0.000483665,0.810881,0.00258185,0.0005658229206369726,0.0004588150557090289,-0.004565822920636973,-0.05829201505570903
0.54,2.5,0.00258185,0.808333,-0.177431,-0.0805172,-0.0040508,5.6,0,0.455376,0.000124267,0.000494843,0.808333,0.00258185,0.0005640450128714258,0.0004559361973893982,-0.004614845012871426,-0.0809731361973894
0.56,2.5,0.00258185,0.807946,-0.169987,-0.104539,-0.00496405,5.6,0,0.471507,0.00013234,0.000506099,0.807946,0.00258185,0.0005637749773837459,0.000455499737877288,-0.005527824977383746,-0.10499449973787729
0.58,2.51374,0.00259604,0.802608,-0.163178,-0.125936,-0.00583511,5.6,0,0.487632,0.000140591,0.000517367,0.802608,0.00259604,0.0005631283839131877,0.0004519713459557957,-0.006398238383913188,-0.12638797134595578
0.6,2.6,0.00268512,0.800023,-0.155514,-0.142164,-0.00578538,5.6,0,0.503652,0.00014897,0.000528718,0.800023,0.00268512,0.0005805756771080969,0.000464473894927051,-0.0063659556771080966,-0.14262847389492705
0.62,2.61291,0.00269845,0.794444,-0.150264,-0.15154,-0.00710327,5.6,0,0.519621,0.000157506,0.000540418,0.794444,0.00269845,0.0005793892496940968,0.0004602923130839771,-0.007682659249694097,-0.15200029231308398
0.64,2.7107,0.00279945,0.79434,-0.152989,-0.152816,-0.00893577,5.6,0,0.53548,0.000166169,0.000552106,0.79434,0.00279945,0.0006009965760917476,0.0004773956202527188,-0.00953676657609175,-0.15329339562025274
0.66,2.8,0.00289167,0.792496,-0.167208,-0.146303,-0.00786135,5.6,0,0.551336,0.00017502,0.00056431,0.792496,0.00289167,0.0006193537404680505,0.0004908353619059681,-0.00848070374046805,-0.14679383536190596
0.68,2.81866,0.00291094,0.786111,-0.194119,-0.13401,-0.00943731,5.6,0,0.567153,0.000184043,0.00057679,0.786111,0.00291094,0.0006184579902191523,0.00048617662914916804,-0.010055767990219153,-0.13449617662914914
0.7,2.9,0.00299494,0.786111,-0.234132,-0.118346,-0.0101768,5.6,0,0.582836,0.000193187,0.000589238,0.786111,0.00299494,0.0006363047261448114,0.0005002061445744238,-0.010813104726144811,-0.11884620614457443
0.72,2.9,0.00299494,0.78319,-0.285535,-0.101378,-0.0100884,5.6,0,0.598511,0.000202523,0.000602016,0.78319,0.00299494,0.0006339404399093236,0.0004964958131325832,-0.010722340439909325,-0.10187449581313258
0.74,2.9,0.00299494,0.780233,-0.342083,-0.0850466,-0.007263,5.6,0,0.614118,0.000212017,0.000614648,0.780233,0.00299494,0.0006315470141271191,0.0004927538214734445,-0.00789454701412712,-0.08553935382147344
0.76,2.9,0.00299494,0.774601,-0.394774,-0.0708696,-0.00777589,5.6,0,0.629654,0.000221664,0.000627224,0.774601,0.00299494,0.0006269884140304735,0.0004856658524964188,-0.008402878414030474,-0.07135526585249642
0.78,2.9,0.00299494,0.769291,-0.436519,-0.0592589,-0.00559079,5.6,0,0.645067,0.000231428,0.0006397,0.769291,0.00299494,0.0006226904415073507,0.0004790301524376313,-0.006213480441507351,-0.059737930152437634
0.8,2.9,0.00299494,0.766481,-0.464482,-0.0496898,-0.00408039,5.6,0,0.660366,0.000241309,0.000652083,0.766481,0.00299494,0.00062041599551598,0.0004755370726590839,-0.004700805995515979,-0.050165337072659084
