t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0.0,2.0,0.00205333,6.59409,0.930758,-0.0149897,0.0206081,0,0,0.0,0.0,0.0,6.59409,0.00205333,0.004531650975798314,0.0298821143830019,0.01607644902420169,-0.0448718143830019
0.02,2.0,0.00205333,6.60212,0.9535,-0.0337821,0.0200593,0,0,0.132068,6.00101e-06,9.08777e-05,6.60212,0.00205333,0.004537155204150102,0.029954843116423473,0.015522144795849896,-0.06373694311642347
0.04,2.0,0.00205333,6.61649,0.97229,-0.0538197,0.0194044,0,0,0.264301,2.40341e-05,0.000181869,6.61649,0.00205333,0.004547005107283323,0.03008521382228903,0.014857394892716676,-0.08390491382228903
0.06,2.0,0.00205333,6.64168,0.985324,-0.0745887,0.0181948,0,0,0.396825,5.41787e-05,0.000273061,6.64168,0.00205333,0.004564271167728209,0.030314428529277092,0.013630528832271793,-0.10490312852927708
0.08,2.0,0.00205333,6.64689,0.992537,-0.0932468,0.0168674,0,0,0.529856,9.65931e-05,0.000364601,6.64689,0.00205333,0.004567842210339077,0.030361944709480705,0.012299557789660924,-0.12360874470948072
0.1,2.0,0.00205333,6.69918,0.994292,-0.105,0.0166,0,0,0.662992,0.000151233,0.000456214,6.69918,0.00205333,0.004603681646926235,0.030840892015455295,0.011996318353073765,-0.1358408920154553
0.12,2.0,0.00205333,6.67161,0.99135,-0.105597,0.0166,0,0,0.797175,0.000218644,0.000548547,6.67161,0.00205333,0.004584785513992753,0.03058790088300919,0.012015214486007248,-0.1361849008830092
0.14,2.0,0.00205333,6.69697,0.985357,-0.0939766,0.0164035,0,0,0.930805,0.00029809,0.0006405,6.69697,0.00205333,0.004602166963408449,0.030820574088937482,0.011801333036591553,-0.12479717408893748
0.16,1.9,0.00195066,6.70296,0.978494,-0.0720317,0.0153944,0,0,1.06494,0.000390144,0.000731647,6.70296,0.00195066,0.004375950293929052,0.02933181978219468,0.011018449706070948,-0.10136351978219468
0.18,1.9,0.00195066,6.72894,0.972706,-0.0430404,0.015,0,0,1.1992,0.00049421,0.000818255,6.72894,0.00195066,0.00439286569456084,0.02955932968675822,0.010607134305439159,-0.07259972968675822
0.2,1.75042,0.00179709,6.73929,0.969044,-0.0113762,0.0152179,0,0,1.33397,0.000610348,0.000904622,6.73929,0.00179709,0.004053235052404358,0.027315926456318165,0.011164664947595642,-0.038692126456318164
0.22,1.61527,0.00165834,6.76684,0.967395,0.0169959,0.0159695,0,0,1.46895,0.000737791,0.000982606,6.76684,0.00165834,0.0037555405193849907,0.025413141808195133,0.01221395948061501,-0.008417241808195131
0.24,1.40237,0.00143977,6.77758,0.966756,0.0341138,0.0163835,0,0,1.60448,0.000875885,0.00105387,6.77758,0.00143977,0.0032657187059725893,0.022133669787225703,0.013117781294027409,0.011980130212774297
