t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0.0,-0.7,-0.000722917,26.6423,0.0182717,-0.400273,-0.023,29.2,0,0.0,0.0,0.0,26.6423,-0.000722917,-0.02634833048438993,-0.7019801252642618,0.003348330484389931,0.3017071252642618
0.02,-0.7,-0.000722917,26.6332,0.0104652,-0.339964,-0.0224,29.2,0,0.53285,-2.77375e-05,-0.00010411,26.6332,-0.000722917,-0.026346640603022924,-0.7016953485084301,0.0039466406030229245,0.3617313485084301
0.04,-0.7,-0.000722917,26.6842,0.00284254,-0.289139,-0.0225714,29.2,0,1.06552,-0.000110912,-0.000208184,26.6842,-0.000722917,-0.026356110611233958,-0.7032917267722892,0.0037847106112339594,0.41415272677228926
0.06,-0.8,-0.000826191,26.6864,-0.000892278,-0.252944,-0.0227889,29.2,0,1.5992,-0.000250503,-0.000316181,26.6864,-0.000826191,-0.02708890074755853,-0.7229052409096459,0.004300000747558531,0.4699612409096459
0.08,-0.8,-0.000826191,26.7083,0.00330206,-0.229267,-0.0216002,29.2,0,2.13293,-0.000451725,-0.000439084,26.7083,-0.000826191,-0.027093547530301354,-0.7236225955035477,0.005493347530301354,0.4943555955035477
0.1,-0.8,-0.000826191,26.6839,0.0158767,-0.213708,-0.0216819,29.2,0,2.6671,-0.000718126,-0.000558361,26.6839,-0.000826191,-0.027088370268227708,-0.7228233634003614,0.005406470268227707,0.5091153634003613
0.12,-0.8,-0.000826191,26.6398,0.0342734,-0.206968,-0.0217832,29.2,0,3.20078,-0.00104791,-0.000677529,26.6398,-0.000826191,-0.02707901178201279,-0.7213794580704644,0.005295811782012792,0.5144114580704644
0.14,-0.8,-0.000826191,26.7025,0.055877,-0.211277,-0.0217086,29.2,0,3.73358,-0.00144059,-0.000796501,26.7025,-0.000826191,-0.027092316913299157,-0.7234325923773708,0.005383716913299155,0.5121555923773708
0.16,-0.9,-0.000929465,26.7053,0.0792033,-0.223068,-0.021434,29.2,0,4.26764,-0.00189848,-0.000919481,26.7053,-0.000929465,-0.0278257940836039,-0.7430961787408672,0.006391794083603897,0.5200281787408672
0.18,-0.9,-0.000929465,26.6861,0.102121,-0.235216,-0.0213884,29.2,0,4.80176,-0.00242609,-0.00105738,26.6861,-0.000929465,-0.02782121092568066,-0.7424396168838067,0.006432810925680661,0.5072236168838067
0.2,-0.9,-0.000929465,26.6864,0.120576,-0.245034,-0.0205011,29.2,0,5.3355,-0.00302625,-0.00119146,26.6864,-0.000929465,-0.027821282540103947,-0.74244987437823,0.007320182540103946,0.49741587437823
0.22,-0.902365,-0.000931908,26.6365,0.131592,-0.255564,-0.0221764,29.2,0,5.86926,-0.00369799,-0.00132563,26.6365,-0.000931908,-0.027826663109200966,-0.7412049119082316,0.005650263109200967,0.48564091190823155
0.24,-1.0,-0.00103274,26.6695,0.135746,-0.267962,-0.0203387,29.2,0,6.40201,-0.00444063,-0.00146353,26.6695,-0.00103274,-0.028549188885523907,-0.7613925929824799,0.008210488885523906,0.4934305929824799
0.26,-1.0,-0.00103274,26.6753,0.13577,-0.278906,-0.021363,29.2,0,6.93543,-0.00526166,-0.00161606,26.6753,-0.00103274,-0.028550727352405072,-0.761599217343611,0.007187727352405072,0.48269321734361104
0.28,-1.0,-0.00103274,26.686,0.13587,-0.286704,-0.0206034,29.2,0,7.46896,-0.00616361,-0.00176498,26.686,-0.00103274,-0.028553565469307797,-0.7619804481139478,0.007950165469307796,0.4752764481139478
0.3,-1.0,-0.00103274,26.6938,0.13889,-0.293051,-0.0182992,29.2,0,8.00271,-0.00714542,-0.00191395,26.6938,-0.00103274,-0.028555634303998028,-0.7622583909840626,0.010256434303998026,0.46920739098406256
0.32,-1.0,-0.00103274,26.6707,0.141992,-0.299614,-0.0211555,29.2,0,8.53661,-0.00820707,-0.00206298,26.6707,-0.00103274,-0.028549507191806264,-0.7614353414605073,0.007394007191806263,0.4618213414605073
0.34,-1.0,-0.00103274,26.7062,0.141678,-0.306332,-0.0193382,29.2,0,9.07005,-0.00934726,-0.00221187,26.7062,-0.00103274,-0.028558923093998264,-0.7627003119329364,0.009220723093998264,0.4563683119329364
0.36,-1.1,-0.00113601,26.6535,0.140619,-0.31171,-0.0216931,29.2,0,9.6042,-0.0105692,-0.00236469,26.6535,-0.00113601,-0.02927642572838654,-0.7803192131515507,0.0075833257283865405,0.46860921315155074
