t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0.0,4.8,0.00495715,0.891636,-0.364206,-0.119133,-0.00382806,8.3,0,0.0,0.0,0.0,0.891636,0.00495715,-0.006126117067183546,-0.005462266517315268,0.0022980570671835465,-0.11367073348268474
0.02,4.8,0.00495715,0.891374,-0.357317,-0.1144,-0.00377729,8.3,0,0.0177599,2.11292e-07,2.37943e-05,0.891374,0.00495715,-0.0061264680698332056,-0.005460974349279504,0.0023491780698332056,-0.1089390256507205
0.04,4.7,0.00485387,0.885738,-0.349986,-0.113973,-0.00352849,8.3,0,0.0355159,8.44253e-07,4.74598e-05,0.885738,0.00485387,-0.006158742839016551,-0.0054550325647448415,0.0026302528390165507,-0.10851796743525516
0.06,4.7,0.00485387,0.877574,-0.340227,-0.11918,-0.00288564,8.3,0,0.0531606,1.88516e-06,7.04844e-05,0.877574,0.00485387,-0.006169452323784157,-0.005414150953592558,0.003283812323784157,-0.11376584904640744
0.08,4.6,0.0047506,0.874632,-0.32491,-0.128182,-0.00375982,8.3,0,0.0706441,3.31726e-06,9.32985e-05,0.874632,0.0047506,-0.006197723428122491,-0.0054207272373856304,0.002437903428122491,-0.12276127276261437
0.1,4.6,0.0047506,0.869397,-0.301753,-0.137575,-0.0042,7.8983,0,0.0880717,5.13751e-06,0.000115553,0.869397,0.0047506,-0.006204444568639867,-0.005394125494641794,0.002004444568639867,-0.1321808745053582
0.12,4.6,0.0047506,0.86644,-0.271478,-0.144193,-0.00366632,7.75026,0,0.105399,7.33253e-06,0.000137801,0.86644,0.0047506,-0.006208241019964563,-0.005379068349338096,0.002541921019964563,-0.1388139316506619
0.14,4.59377,0.00474416,0.863889,-0.238537,-0.14635,-0.0043122,7.3813,0,0.122674,9.9045e-06,0.000159973,0.863889,0.00474416,-0.0062130198554886515,-0.005367359509938236,0.001900819855488651,-0.14098264049006176
0.16,4.5,0.00464733,0.864007,-0.208496,-0.143879,-0.0059125,6.9825,0,0.139904,1.28505e-05,0.000181946,0.864007,0.00464733,-0.0062354799534336345,-0.005387498328126334,0.0003229799534336343,-0.13849150167187368
0.18,4.39045,0.00453419,0.866032,-0.184257,-0.13698,-0.0072,6.6,0,0.157142,1.61722e-05,0.000203354,0.866032,0.00453419,-0.006259418537488825,-0.005420856754858523,-0.0009405814625111746,-0.13155914324514148
