t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0,2,0.00205333,6.59409,0.930758,-0.0149897,0.0206081,0,0,0,0,0,6.59409,0.00205333,0.01005134266,0.0299205,0.01055675734,-0.0449102
0.02,2,0.00205333,6.60212,0.9535,-0.0337821,0.0200593,0,0,0.132068,6.00101e-06,9.08777e-05,6.60212,0.00205333,0.01005687266,0.0299935,0.01000242734,-0.0637756
0.04,2,0.00205333,6.61649,0.97229,-0.0538197,0.0194044,0,0,0.264301,2.40341e-05,0.000181869,6.61649,0.00205333,0.01006676266,0.0301242,0.009337637341,-0.0839439
0.06,2,0.00205333,6.64168,0.985324,-0.0745887,0.0181948,0,0,0.396825,5.41787e-05,0.000273061,6.64168,0.00205333,0.01008409266,0.0303541,0.008110707341,-0.1049428
0.08,2,0.00205333,6.64689,0.992537,-0.0932468,0.0168674,0,0,0.529856,9.65931e-05,0.000364601,6.64689,0.00205333,0.01008768266,0.0304017,0.006779717341,-0.1236485
0.1,2,0.00205333,6.69918,0.994292,-0.105,0.0166,0,0,0.662992,0.000151233,0.000456214,6.69918,0.00205333,0.01012365266,0.0308818,0.006476347341,-0.1358818
0.12,2,0.00205333,6.67161,0.99135,-0.105597,0.0166,0,0,0.797175,0.000218644,0.000548547,6.67161,0.00205333,0.01010469266,0.0306282,0.006495307341,-0.1362252
0.14,2,0.00205333,6.69697,0.985357,-0.0939766,0.0164035,0,0,0.930805,0.00029809,0.0006405,6.69697,0.00205333,0.01012214266,0.0308615,0.006281357341,-0.1248381
0.16,1.9,0.00195066,6.70296,0.978494,-0.0720317,0.0153944,0,0,1.06494,0.000390144,0.000731647,6.70296,0.00195066,0.009895642659,0.0293709,0.005498757341,-0.1014026
0.18,1.9,0.00195066,6.72894,0.972706,-0.0430404,0.015,0,0,1.1992,0.00049421,0.000818255,6.72894,0.00195066,0.009912622659,0.029599,0.005087377341,-0.0726394
0.2,1.75042,0.00179709,6.73929,0.969044,-0.0113762,0.0152179,0,0,1.33397,0.000610348,0.000904622,6.73929,0.00179709,0.009572552659,0.0273527,0.005645347341,-0.0387289
0.22,1.61527,0.00165834,6.76684,0.967395,0.0169959,0.0159695,0,0,1.46895,0.000737791,0.000982606,6.76684,0.00165834,0.009274492659,0.0254476,0.006695007341,-0.0084517
0.24,1.40237,0.00143977,6.77758,0.966756,0.0341138,0.0163835,0,0,1.60448,0.000875885,0.00105387,6.77758,0.00143977,0.008784012659,0.0221637,0.007599487341,0.0119501
0.26,1.10139,0.00113075,6.77502,0.965995,0.0315074,0.0164028,0,0,1.74022,0.00102312,0.00111336,6.77502,0.00113075,0.008081182659,0.0173936,0.008321617341,0.0141138
0.28,1.01355,0.00104057,6.80594,0.965243,0.00564005,0.0154813,0,0,1.87592,0.00117747,0.00116024,6.80594,0.00104057,0.007887222659,0.0161529,0.007594077341,-0.01051285
0.3,1,0.00102666,6.82463,0.966484,-0.0361702,0.0157834,0,0,2.01223,0.00133881,0.00120658,6.82463,0.00102666,0.007861922659,0.0160246,0.007921477341,-0.0521948
