t_s,delta_wheel_deg,delta_road_rad,v_mps,a_long_mps2,a_lat_meas_mps2,yaw_rate_meas_rads,accel_pedal_pct,brake_pressed,x_m,y_m,psi_rad,v_state_mps,delta_state_rad,yaw_rate_pred_rads,a_y_pred_mps2,yaw_rate_resid_rads,a_y_resid_mps2
0,-0.7,-0.000722917,26.6423,0.0182717,-0.400273,-0.023,29.2,0,0,0,0,26.6423,-0.000722917,-0.00520546,-0.138686,-0.01779454,-0.261587
0.02,-0.7,-0.000722917,26.6332,0.0104652,-0.339964,-0.0224,29.2,0,0.53285,-2.77375e-05,-0.00010411,26.6332,-0.000722917,-0.00520369,-0.138591,-0.01719631,-0.201373
0.04,-0.7,-0.000722917,26.6842,0.00284254,-0.289139,-0.0225714,29.2,0,1.06552,-0.000110912,-0.000208184,26.6842,-0.000722917,-0.00521363,-0.139121,-0.01735777,-0.150018
0.06,-0.8,-0.000826191,26.6864,-0.000892278,-0.252944,-0.0227889,29.2,0,1.5992,-0.000250503,-0.000316181,26.6864,-0.000826191,-0.00595894,-0.159022,-0.01682996,-0.093922
0.08,-0.8,-0.000826191,26.7083,0.00330206,-0.229267,-0.0216002,29.2,0,2.13293,-0.000451725,-0.000439084,26.7083,-0.000826191,-0.00596384,-0.159284,-0.01563636,-0.069983
0.1,-0.8,-0.000826191,26.6839,0.0158767,-0.213708,-0.0216819,29.2,0,2.6671,-0.000718126,-0.000558361,26.6839,-0.000826191,-0.00595837,-0.158992,-0.01572353,-0.054716
0.12,-0.8,-0.000826191,26.6398,0.0342734,-0.206968,-0.0217832,29.2,0,3.20078,-0.00104791,-0.000677529,26.6398,-0.000826191,-0.00594853,-0.158467,-0.01583467,-0.048501
0.14,-0.8,-0.000826191,26.7025,0.055877,-0.211277,-0.0217086,29.2,0,3.73358,-0.00144059,-0.000796501,26.7025,-0.000826191,-0.00596255,-0.159215,-0.01574605,-0.052062
0.16,-0.9,-0.000929465,26.7053,0.0792033,-0.223068,-0.021434,29.2,0,4.26764,-0.00189848,-0.000919481,26.7053,-0.000929465,-0.00670855,-0.179154,-0.01472545,-0.043914
0.18,-0.9,-0.000929465,26.6861,0.102121,-0.235216,-0.0213884,29.2,0,4.80176,-0.00242609,-0.00105738,26.6861,-0.000929465,-0.00670374,-0.178897,-0.01468466,-0.056319
0.2,-0.9,-0.000929465,26.6864,0.120576,-0.245034,-0.0205011,29.2,0,5.3355,-0.00302625,-0.00119146,26.6864,-0.000929465,-0.00670381,-0.178901,-0.01379729,-0.066133
0.22,-0.902365,-0.000931908,26.6365,0.131592,-0.255564,-0.0221764,29.2,0,5.86926,-0.00369799,-0.00132563,26.6365,-0.000931908,-0.00670886,-0.1787,-0.01546754,-0.076864
0.24,-1,-0.00103274,26.6695,0.135746,-0.267962,-0.0203387,29.2,0,6.40201,-0.00444063,-0.00146353,26.6695,-0.00103274,-0.00744396,-0.198527,-0.01289474,-0.069435
0.26,-1,-0.00103274,26.6753,0.13577,-0.278906,-0.021363,29.2,0,6.93543,-0.00526166,-0.00161606,26.6753,-0.00103274,-0.00744558,-0.198613,-0.01391742,-0.080293
0.28,-1,-0.00103274,26.686,0.13587,-0.286704,-0.0206034,29.2,0,7.46896,-0.00616361,-0.00176498,26.686,-0.00103274,-0.00744857,-0.198773,-0.01315483,-0.087931
0.3,-1,-0.00103274,26.6938,0.13889,-0.293051,-0.0182992,29.2,0,8.00271,-0.00714542,-0.00191395,26.6938,-0.00103274,-0.00745073,-0.198888,-0.01084847,-0.094163
0.32,-1,-0.00103274,26.6707,0.141992,-0.299614,-0.0211555,29.2,0,8.53661,-0.00820707,-0.00206298,26.6707,-0.00103274,-0.0074443,-0.198545,-0.0137112,-0.101069
0.34,-1,-0.00103274,26.7062,0.141678,-0.306332,-0.0193382,29.2,0,9.07005,-0.00934726,-0.00221187,26.7062,-0.00103274,-0.00745421,-0.199074,-0.01188399,-0.107258
0.36,-1.1,-0.00113601,26.6535,0.140619,-0.31171,-0.0216931,29.2,0,9.6042,-0.0105692,-0.00236469,26.6535,-0.00113601,-0.00818343,-0.218117,-0.01350967,-0.093593
0.38,-1.10368,-0.00113981,26.5926,0.142382,-0.313914,-0.0222074,29.2,0,10.1373,-0.0118741,-0.00253222,26.5926,-0.00113981,-0.00819202,-0.217847,-0.01401538,-0.096067
0.4,-1.20149,-0.00124083,26.6363,0.144394,-0.311663,-0.021594,29.2,0,10.6692,-0.0132652,-0.00269984,26.6363,-0.00124083,-0.00893271,-0.237934,-0.01266129,-0.073729
0.42,-1.3,-0.00134256,26.6611,0.141774,-0.305743,-0.022595,29.2,0,11.2019,-0.0147525,-0.0028858,26.6611,-0.00134256,-0.00967411,-0.257922,-0.01292089,-0.047821
0.44,-1.3,-0.00134256,26.6611,0.133682,-0.299397,-0.0222269,29.2,0,11.7352,-0.0163436,-0.00308296,26.6611,-0.00134256,-0.00967411,-0.257922,-0.01255279,-0.041475
0.46,-1.6,-0.00165238,26.6772,0.122941,-0.294252,-0.0224354,29.2,0,12.2684,-0.0180411,-0.00328762,26.6772,-0.00165238,-0.0119138,-0.317827,-0.0105216,0.023575
0.48,-1.5046,-0.00155386,26.6577,0.113247,-0.287695,-0.022846,28.9,0,12.802,-0.0198602,-0.00353352,26.6577,-0.00155386,-0.0111953,-0.29844,-0.0116507,0.010745
0.5,-1.59081,-0.00164289,26.6347,0.106907,-0.278066,-0.0248367,28.8,0,13.3352,-0.0218038,-0.00375709,26.6347,-0.00164289,-0.0118265,-0.314995,-0.0130102,0.036929
0.52,-1.5,-0.00154911,26.603,0.103164,-0.268911,-0.023596,28.8,0,13.8679,-0.0238683,-0.00399346,26.603,-0.00154911,-0.0111381,-0.296307,-0.0124579,0.027396
0.54,-1.5,-0.00154911,26.6243,0.100803,-0.264361,-0.0239653,28.8,0,14.3999,-0.0260518,-0.00421286,26.6243,-0.00154911,-0.011147,-0.296782,-0.0128183,0.032421
0.56,-1.6,-0.00165238,26.6371,0.100885,-0.264702,-0.0261454,28.8,0,14.9325,-0.0283551,-0.00443953,26.6371,-0.00165238,-0.0118959,-0.316871,-0.0142495,0.052169
0.58,-1.6,-0.00165238,26.6706,0.10394,-0.268103,-0.0240389,28.8,0,15.4652,-0.0307844,-0.00468117,26.6706,-0.00165238,-0.0119108,-0.31767,-0.0121281,0.049567
0.6,-1.6,-0.00165238,26.6168,0.107854,-0.27392,-0.0249362,28.8,0,15.9986,-0.033345,-0.0049194,26.6168,-0.00165238,-0.0118868,-0.316389,-0.0130494,0.042469
0.62,-1.6,-0.00165238,26.6197,0.110362,-0.284062,-0.0257861,28.8,0,16.531,-0.0360272,-0.00515714,26.6197,-0.00165238,-0.0118881,-0.316459,-0.013898,0.032397
0.64,-1.68707,-0.0017423,26.6579,0.111422,-0.29952,-0.025,28.8,0,17.0634,-0.0388368,-0.00539815,26.6579,-0.0017423,-0.012553,-0.334637,-0.012447,0.035117
0.66,-1.7,-0.00175566,26.6516,0.113004,-0.316356,-0.0251612,28.8,0,17.5966,-0.0417825,-0.00565294,26.6516,-0.00175566,-0.0126463,-0.337043,-0.0125149,0.020687
0.68,-1.7,-0.00175566,26.6155,0.116809,-0.330595,-0.0226673,28.8,0,18.1296,-0.0448633,-0.00590636,26.6155,-0.00175566,-0.0126291,-0.336129,-0.0100382,0.005534
0.7,-1.7,-0.00175566,26.5464,0.12174,-0.344701,-0.0256637,28.8,0,18.6619,-0.0480747,-0.00615895,26.5464,-0.00175566,-0.0125963,-0.334386,-0.0130674,-0.010315
0.72,-1.7,-0.00175566,26.5838,0.125475,-0.362163,-0.0247696,28.8,0,19.1929,-0.0514117,-0.00641089,26.5838,-0.00175566,-0.0126141,-0.33533,-0.0121555,-0.026833
0.74,-1.7,-0.00175566,26.63,0.128988,-0.380728,-0.0229135,28.8,0,19.7246,-0.0548874,-0.00666318,26.63,-0.00175566,-0.012636,-0.336497,-0.0102775,-0.044231
0.76,-1.7,-0.00175566,26.6379,0.135867,-0.396256,-0.0266183,28.8,0,20.2572,-0.0585036,-0.00691591,26.6379,-0.00175566,-0.0126397,-0.336695,-0.0139786,-0.059561
0.78,-1.8,-0.00185893,26.5922,0.146006,-0.406567,-0.0260582,28.8,0,20.79,-0.0622563,-0.00717244,26.5922,-0.00185893,-0.0133603,-0.355281,-0.0126979,-0.051286
0.8,-1.8,-0.00185893,26.6051,0.153818,-0.410582,-0.0248173,28.8,0,21.3218,-0.0661428,-0.00744337,26.6051,-0.00185893,-0.0133668,-0.355624,-0.0114505,-0.054958
0.82,-1.8,-0.00185893,26.5852,0.15445,-0.41046,-0.0260781,28.8,0,21.8539,-0.0701748,-0.00771072,26.5852,-0.00185893,-0.0133568,-0.355094,-0.0127213,-0.055366
0.84,-1.8,-0.00185893,26.644,0.148212,-0.412205,-0.0262924,28.8,0,22.3856,-0.0743458,-0.00797787,26.644,-0.00185893,-0.0133863,-0.356666,-0.0129061,-0.055539
0.86,-1.8,-0.00185893,26.6551,0.137031,-0.418261,-0.025986,28.7,0,22.9185,-0.0786686,-0.00824561,26.6551,-0.00185893,-0.0133919,-0.356961,-0.0125941,-0.0613
0.88,-1.8,-0.00185893,26.5759,0.121039,-0.425053,-0.025784,28.7,0,23.4517,-0.0831359,-0.00851347,26.5759,-0.00185893,-0.0133521,-0.354845,-0.0124319,-0.070208
0.9,-1.80521,-0.00186431,26.5791,0.10127,-0.430417,-0.0257479,28.7,0,23.9832,-0.0877322,-0.00878071,26.5791,-0.00186431,-0.0133924,-0.355956,-0.0123555,-0.074461
0.92,-1.9,-0.0019622,26.6286,0.0824262,-0.434433,-0.0244137,28.7,0,24.5148,-0.0924718,-0.00905228,26.6286,-0.0019622,-0.0141218,-0.376044,-0.0102919,-0.058389
0.94,-1.9,-0.0019622,26.6515,0.0699625,-0.434204,-0.0249637,28.7,0,25.0473,-0.0973687,-0.00933825,26.6515,-0.0019622,-0.014134,-0.376693,-0.0108297,-0.057511
0.96,-1.9,-0.0019622,26.6141,0.0644959,-0.425931,-0.024832,28.7,0,25.5803,-0.102422,-0.00962094,26.6141,-0.0019622,-0.0141142,-0.375637,-0.0107178,-0.050294
0.98,-1.9,-0.0019622,26.5533,0.0617613,-0.409639,-0.0250076,28.7,0,26.1126,-0.107618,-0.00990323,26.5533,-0.0019622,-0.0140819,-0.37392,-0.0109257,-0.035719
1,-1.9,-0.0019622,26.5759,0.0586217,-0.38895,-0.024764,28.7,0,26.6437,-0.112952,-0.0101849,26.5759,-0.0019622,-0.0140939,-0.374557,-0.0106701,-0.014393
1.02,-1.9,-0.0019622,26.5948,0.0564775,-0.369271,-0.0256356,28.7,0,27.1752,-0.11844,-0.0104668,26.5948,-0.0019622,-0.0141039,-0.37509,-0.0115317,0.005819
1.04,-1.9,-0.0019622,26.6024,0.0585606,-0.355485,-0.0250851,28.7,0,27.707,-0.124083,-0.0107488,26.6024,-0.0019622,-0.0141079,-0.375305,-0.0109772,0.01982
1.06,-1.9,-0.0019622,26.5742,0.0654799,-0.348927,-0.0248328,28.7,0,28.2391,-0.129877,-0.011031,26.5742,-0.0019622,-0.014093,-0.374511,-0.0107398,0.025584
