t_s,delta_road_rad,yaw_rate_meas_rads,yaw_rate_resid_rads,yaw_rate_pred_rads
0.0,-0.0048349,-0.0146746,0.00181075,-0.019347655450893793
0.02,-0.00505072,-0.0165172,0.00068159,-0.020061194663800463
0.04,-0.00524453,-0.0176333,0.000225544,-0.020721172874687575
0.06,-0.00533865,-0.0193139,-0.00113592,-0.021040426367228776
0.08,-0.00533865,-0.0211239,-0.00296439,-0.021021819635497367
0.1,-0.00533865,-0.0224588,-0.0043098,-0.02101144280433946
0.12,-0.00533865,-0.0230311,-0.00490175,-0.020991583696433815
0.14,-0.00533865,-0.0232,-0.00507517,-0.02098711092438299
0.16,-0.00533865,-0.0226462,-0.00451557,-0.02099301498349008
0.18,-0.00533865,-0.0207615,-0.00267164,-0.020952223302386594
0.2,-0.00533865,-0.0190198,-0.000969158,-0.0209130418192214
0.22,-0.00523599,-0.0184,-0.00072528,-0.02053715132003909
0.24,-0.00523599,-0.0184,-0.000713367,-0.020549083309777186
0.26,-0.00523599,-0.0182764,-0.00055884,-0.020579966106746395
0.28,-0.00523599,-0.0190907,-0.00142501,-0.02052802685729819
0.3,-0.00523599,-0.020103,-0.00249294,-0.02047240272866615
0.32,-0.00523599,-0.0216383,-0.00398769,-0.02051293639968823
0.34,-0.00523599,-0.0224355,-0.00482137,-0.020476438548724628
0.36,-0.00525035,-0.022972,-0.00533516,-0.02049923403809884
0.38,-0.00533865,-0.0225295,-0.00455845,-0.020833426476716786
0.4,-0.005339,-0.0218,-0.0038233,-0.02083907774080295
0.42,-0.00546521,-0.0207673,-0.00239159,-0.021238034632597366
0.44,-0.00554399,-0.0191937,-0.000557659,-0.02149846290946559
0.46,-0.00554399,-0.0183628,0.000277045,-0.021502178758527522
0.48,-0.00554399,-0.0182,0.000424589,-0.021486943777373604
0.5,-0.00554399,-0.0190526,-0.000437434,-0.021477468362265682
0.52,-0.00554399,-0.0204396,-0.00182786,-0.02147412409810994
0.54,-0.00554399,-0.0206,-0.00197644,-0.021486014815108118
0.56,-0.00554399,-0.0208338,-0.0022542,-0.02144198200372424
0.58,-0.00554399,-0.0212373,-0.00265478,-0.021444768890520688
0.6,-0.00554399,-0.0215881,-0.00302572,-0.02142474046407688
0.62,-0.00554399,-0.0207262,-0.00221749,-0.02137110218286791
0.64,-0.00544132,-0.0202,-0.00206478,-0.020997584725469524
0.66,-0.00533865,-0.0206,-0.00280018,-0.020662172980434955
0.68,-0.00533865,-0.0204957,-0.00269944,-0.020658594762794295
0.7,-0.00533865,-0.019394,-0.00160281,-0.020653513693744567
0.72,-0.00537488,-0.0201764,-0.00230441,-0.020734391472129285
0.74,-0.00587702,-0.0213805,-0.00184355,-0.022399289531749862
0.76,-0.00687851,-0.0192804,0.00359222,-0.025734993310651322
0.78,-0.00787694,-0.0169518,0.00918453,-0.02899864009849413
0.8,-0.00830886,-0.0179584,0.00963127,-0.03045203502785019
0.82,-0.00852131,-0.0252827,0.00302285,-0.031167906421071888
0.84,-0.00852131,-0.0312156,-0.00296661,-0.031111305733327155
0.86,-0.0084851,-0.0356822,-0.00752862,-0.031015971305928425
0.88,-0.00811065,-0.0385528,-0.011624,-0.02979126491267802
0.9,-0.00821331,-0.0393707,-0.0121274,-0.03010565169963459
0.92,-0.00811065,-0.0385297,-0.0116152,-0.029776831770623513
0.94,-0.00800798,-0.0369598,-0.0104131,-0.029409037397865635
0.96,-0.00788585,-0.0338587,-0.00770049,-0.029020567775217172
0.98,-0.00767519,-0.0303585,-0.00493922,-0.028281658289000783
1.0,-0.00749465,-0.0287932,-0.00393477,-0.02772078125411844
1.02,-0.00739198,-0.0273525,-0.00283688,-0.02737795163057804
1.04,-0.00739198,-0.028056,-0.00350493,-0.0274134753986484
1.06,-0.00751346,-0.0330031,-0.00817437,-0.027691116286623643
1.08,-0.00784818,-0.0369105,-0.011292,-0.028480860282597747
1.1,-0.00824509,-0.0382762,-0.0110864,-0.030052160237343452
1.12,-0.00879805,-0.0361682,-0.00703788,-0.0319926524158052
1.14,-0.00924426,-0.0343861,-0.00393943,-0.03330906640255729
1.16,-0.00989472,-0.0324113,0.000169592,-0.035443319326269526
1.18,-0.0104166,-0.0300314,0.00427896,-0.03717268888271382
1.2,-0.0107752,-0.0272369,0.00827241,-0.03837159826757557
1.22,-0.0109853,-0.026041,0.0104369,-0.039340256055357146
1.24,-0.0109757,-0.0266932,0.00965595,-0.039211378045531646
1.26,-0.0107628,-0.0297011,0.00583481,-0.0383982540002291
1.28,-0.0105348,-0.0320777,0.00278265,-0.03772282780845364
1.3,-0.0101458,-0.0333181,0.000219564,-0.03640014497325737
1.32,-0.00961472,-0.0372449,-0.00551442,-0.03459288549568282
1.34,-0.00922576,-0.0386554,-0.00828678,-0.03323100298852571
1.36,-0.00903465,-0.03894,-0.00920945,-0.032592925157239515
1.38,-0.00903465,-0.03809,-0.00847969,-0.03247272228717511
1.4,-0.00903465,-0.0374,-0.0078201,-0.03244229309714621
1.42,-0.00905766,-0.0372,-0.00751383,-0.03254853449203052
1.44,-0.0092396,-0.0373993,-0.00713983,-0.033121801501808636
1.46,-0.00937922,-0.0382712,-0.007664,-0.03346959995741791
1.48,-0.00979872,-0.0393327,-0.00731307,-0.03488198816664514
1.5,-0.0101733,-0.0406182,-0.00736013,-0.03612035064618958
1.52,-0.0104123,-0.0407581,-0.00677309,-0.0368472259232338
1.54,-0.0106863,-0.0404,-0.00551048,-0.03775174099492113
1.56,-0.0107986,-0.0402362,-0.00495741,-0.03814128612450304
1.58,-0.0109853,-0.0405599,-0.00474252,-0.03867974936756444
1.6,-0.0109853,-0.0393564,-0.00359519,-0.038623532115891764
1.62,-0.0109853,-0.0388354,-0.00311554,-0.03858218832176706
1.64,-0.0109853,-0.0387775,-0.00317892,-0.038460881285577495
1.66,-0.0109853,-0.0386262,-0.00302763,-0.038460881285577495
1.68,-0.0109853,-0.0383309,-0.00273396,-0.038459335035040336
1.7,-0.0109853,-0.0375942,-0.00201646,-0.03844004371881474
1.72,-0.0109853,-0.0376305,-0.00208717,-0.038405658052107286
