t_s,delta_road_rad,v_mps,yaw_rate_pred_rads,yaw_rate_meas_rads,yaw_rate_resid_rads
0.0,0.00205333,6.59409,0.017918102292330144,0.0206081,0.0160706
0.02,0.00205333,6.60212,0.017922748640194507,0.0200593,0.0155163
0.04,0.00205333,6.61649,0.017931060974782455,0.0194044,0.0148515
0.06,0.00205333,6.64168,0.01794562465341474,0.0181948,0.0136245
0.08,0.00205333,6.64689,0.017948635610117194,0.0168674,0.0122935
0.1,0.00205333,6.69918,0.017978832250591183,0.0166,0.0119902
0.12,0.00205333,6.67161,0.01796291620102975,0.0166,0.0120092
0.14,0.00205333,6.69697,0.02079398305809375,0.0164035,0.0117952
0.16,0.00195066,6.70296,0.02058288332817737,0.0153944,0.0110126
0.18,0.00195066,6.72894,0.02059704323513186,0.015,0.0106012
0.2,0.00179709,6.73929,0.0202800282033153,0.0152179,0.0111592
0.22,0.00165834,6.76684,0.020001020555470237,0.0159695,0.0122088
0.24,0.00143977,6.77758,0.0195440853409835,0.0163835,0.0131134
0.26,0.00113075,6.77502,0.018890423876263038,0.0164028,0.0138355
0.28,0.00104057,6.80594,0.018708076005801433,0.0154813,0.0131079
0.3,0.00102666,6.82463,0.018683387701822443,0.0157834,0.0134354
0.32,0.00102666,6.83845,0.01587052653591095,0.0160123,0.0136595
0.34,0.00102666,6.84704,0.01587274164288263,0.0150161,0.0126604
0.36,0.00102666,6.87188,0.01587914398572334,0.014211,0.0118466
0.38,0.00102666,6.87479,0.015879893677750632,0.0134579,0.0110926
0.4,0.00102666,6.89135,0.01588415886977033,0.0124079,0.0100369
0.42,0.00102666,6.89449,0.015884967364004854,0.0133948,0.0110227
0.44,0.00102666,6.92496,0.015892808824843178,0.0134005,0.011018
0.46,0.00102666,6.94472,0.015897890130236687,0.013,0.0106106
0.48,0.00102666,6.96294,0.015902572740582387,0.0135445,0.0111488
0.5,0.00102666,6.97777,0.01590638219725101,0.0143998,0.011999
0.52,0.00102666,7.00237,0.015912697438118333,0.0147936,0.0123843
0.54,0.00102666,7.01932,0.01591704598442914,0.0151969,0.0127818
0.56,0.00102666,7.03615,0.015921361557923033,0.0166031,0.0141823
0.58,0.00102666,7.04136,0.015922697031258728,0.0168,0.0143774
0.6,0.00102666,7.05545,0.01592630764349417,0.0164027,0.0139753
0.62,0.00102666,7.06925,0.01592984243627063,0.0161944,0.0137622
0.64,0.00102666,7.08594,0.015934115444698627,0.0160086,0.0135706
0.66,0.00102666,7.11111,0.015940555278778346,0.0147876,0.012341
0.68,0.00102666,7.11111,0.015940555278778346,0.0138208,0.0113742
0.7,0.00102666,7.12502,0.0159441120577938,0.0142014,0.01175
0.72,0.00102666,7.14432,0.018765470604333284,0.0149975,0.0125394
0.74,0.00092432,7.18605,0.01854703162573852,0.015,0.0127741
0.76,0.000923998,7.17245,0.018543267518835137,0.015006,0.012785
0.78,0.000830486,7.1881,0.018337379330484578,0.0155643,0.0135638
0.8,0.000821331,7.21425,0.018321905586812168,0.016,0.0140143
0.82,0.000821331,7.24434,0.015511257146039804,0.0156027,0.0136087
0.84,0.000821331,7.2556,0.015513417699563,0.014799,0.0128019
0.86,0.000821331,7.27241,0.018333067871806892,0.0143926,0.0123909
0.88,0.000732348,7.28253,0.018133190084621574,0.0140267,0.0122393
0.9,0.000718665,7.29157,0.01810360539979415,0.0143955,0.0126394
0.92,0.000718665,7.29708,0.015288062216653698,0.0146,0.0128426
0.94,0.000718665,7.30538,0.015289391971209694,0.0140175,0.0122581
0.96,0.000718665,7.32747,0.015292929084505932,0.0136,0.0118353
0.98,0.000718665,7.33292,0.015293801310705877,0.0145151,0.0127491
1.0,0.000718665,7.33878,0.015294738978160426,0.014604,0.0128366
1.02,0.000718665,7.35748,0.015297729920320448,0.0147828,0.0130108
1.04,0.000718665,7.35289,0.01529699596266894,0.0138,0.0120291
1.06,0.000718665,7.36087,0.015298271898448505,0.0141785,0.0124057
1.08,0.000718665,7.3814,0.015301552728188986,0.0144297,0.012652
1.1,0.000718665,7.40053,0.012488181523148097,0.0138065,0.0120241
1.12,0.000821331,7.43367,0.012731048950815279,0.0142,0.0121539
1.14,0.000821331,7.47515,0.01555537838796457,0.0144078,0.0123503
1.16,0.000821331,7.48315,0.018373327487160612,0.0146,0.0125403
1.18,0.000735851,7.48586,0.01817467749435659,0.0146,0.012754
1.2,0.000718665,7.48887,0.018135113576573512,0.0149985,0.0131949
1.22,0.000718665,7.49161,0.015319123378966336,0.014424,0.0126197
1.24,0.000718665,7.50269,0.015320885922973584,0.0136,0.0117931
1.26,0.000718665,7.51386,0.015322662060770688,0.0135961,0.0117865
1.28,0.000718665,7.50338,0.015320995663166076,0.0124609,0.0106538
1.3,0.000718665,7.52776,0.015324871287882659,0.0116003,0.00978736
1.32,0.000718665,7.54693,0.015327916226883058,0.0112,0.0093824
1.34,0.000718665,7.58599,0.015334113778821977,0.0113988,0.00957176
1.36,0.000718665,7.60002,0.015336337671799012,0.0116078,0.0097774
1.38,0.000718665,7.6026,0.015336746483620104,0.0129033,0.0110723
1.4,0.000718665,7.62426,0.018156603359200673,0.0135933,0.0117571
1.42,0.000615999,7.65014,0.01791637907599843,0.0144077,0.0128285
1.44,0.000611331,7.66441,0.017907063846247847,0.0150091,0.0134389
1.46,0.000513332,7.68587,0.017675487365634478,0.0160931,0.0147709
1.48,0.000513332,7.69902,0.014860322303534094,0.0169202,0.0155958
1.5,0.000513332,7.70815,0.01767762370236272,0.0166088,0.0152828
1.52,0.000410666,7.70302,0.017431171875041732,0.0149887,0.0139286
1.54,0.000410666,7.72046,0.0174323025629167,0.0139835,0.012921
1.56,0.000311887,7.77116,0.0171969054982101,0.0130227,0.0122105
1.58,0.000220681,7.74409,0.016976325506851134,0.0127701,0.0121974
1.6,0.000205333,7.83152,0.016939603612775675,0.012996,0.0124571
1.62,0.000109525,7.86823,0.016705401385084296,0.0116401,0.0113513
1.64,0.000102666,7.85848,0.016688903339653456,0.0117973,0.0115269
1.66,0.000102666,7.86387,0.013872324803800976,0.0141952,0.0139246
1.68,0.000102666,7.8847,0.01387173578276761,0.0146,0.0143287
1.7,0.000102666,7.91381,0.013870911987547143,0.014598,0.0143257
1.72,0.000102666,7.90574,0.013871140438258893,0.0157742,0.0155022
1.74,0.000102666,7.92769,0.013870518930167776,0.0156039,0.0153311
1.76,0.000102666,7.92781,0.01387051553298,0.0150086,0.0147358
1.78,0.000102666,7.93041,0.013870441887410666,0.0152197,0.0149469
1.8,0.000102666,7.93884,0.013870203062376687,0.0142065,0.0139334
1.82,0.000102666,7.96355,0.01386950266337036,0.0134054,0.0131314
1.84,0.000102666,7.98331,0.013868942184683796,0.0132,0.0129253
1.86,0.000102666,8.00011,0.013868465395347671,0.0132,0.0129248
1.88,0.000102666,8.01295,0.013868100822570497,0.0130254,0.0127497
1.9,0.000102666,8.04373,0.013867226283707266,0.0131911,0.0129144
1.92,0.000102666,8.07642,0.013866296556707172,0.0126324,0.0123545
1.94,0.000102666,8.09491,0.013865770269389458,0.0124987,0.0122202
1.96,0.000102666,8.11358,0.013865238548877737,0.0126065,0.0123274
1.98,0.000102666,8.12402,0.0110485149035463,0.0118666,0.011587
2.0,0.000106884,8.12216,0.011059203747656681,0.0122,0.0119091
2.02,0.000205333,8.11949,0.011307440868639811,0.0122,0.0116413
2.04,0.000205333,8.14155,0.011307487650143827,0.0135871,0.0130269
2.06,0.000307999,8.16943,0.011567868637428959,0.0144049,0.0135617
2.08,0.000307999,8.16681,0.014384209288100875,0.0149811,0.0141382
2.1,0.000307999,8.19438,0.014385108364709485,0.0157982,0.0149524
2.12,0.000307999,8.19444,0.014385110318545866,0.0163947,0.0155489
2.14,0.000307999,8.20275,0.014385380908184413,0.0156062,0.0147595
2.16,0.000307999,8.22484,0.014386099302723991,0.0145901,0.0137412
2.18,0.000307999,8.21176,0.014385674080896511,0.0142,0.0133524
